County,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate
Staunton City,0,0.0,0,-0.8,stable,0.5166000000000001
Hyde,0,0.0,0,-4.3,stable,0.5166000000000001
Butler,0,0.0,0,-0.1,stable,0.5164
Stillwater,1,31.66,0,5.2,stable,0.5162000000000001
Schuyler,0,0.0,0,-0.2,stable,0.5162000000000001
Grand Traverse,0,0.0,0,-2.5,stable,0.516
Fulton,0,0.0,0,0.4,stable,0.516
Walker,0,0.0,1,0.2,stable,0.5157999999999999
Lincoln,0,0.0,0,2.7,stable,0.5155
Washington,1,50.0,3,1.5,stable,0.515
Metcalfe,0,0.0,0,0.6,stable,0.5149
Grant,1,35.25,0,2.1,stable,0.5147999999999999
Jessamine,0,0.0,1,-0.1,stable,0.5142999999999999
Northampton,0,0.0,2,2.7,stable,0.5142000000000001
Dewey,0,0.0,0,-11.1,stable,0.5141000000000001
Randolph,0,0.0,1,-1.4,falling,0.514
Allegany,1,53.9,2,-0.1,stable,0.5137999999999999
Chester,3,130.04,0,-1.2,stable,0.5134000000000001
Custer,0,0.0,1,-0.6,stable,0.5133000000000001
Cayuga,1,50.0,2,2.9,stable,0.5133000000000001
Lowndes,0,0.0,1,11.2,rising,0.5133000000000001
Quitman,0,0.0,0,0.6,stable,0.5131
Rowan,0,0.0,0,0.3,stable,0.5131
Montgomery,0,0.0,0,-0.7,falling,0.513
Franklin,0,0.0,0,1.4,rising,0.5129
Barren,0,0.0,1,0.4,stable,0.5127
Franklin,0,0.0,0,-0.8,falling,0.5127
Cumberland,4,205.88,7,-6.2,stable,0.5125000000000001
Rosebud,0,0.0,2,-3.2,stable,0.5123
Lawrence,0,0.0,0,10.3,rising,0.5122000000000001
Vermilion,1,50.0,1,-1.6,stable,0.5121
Madison,0,0.0,0,-0.5,stable,0.5121
Montgomery,0,0.0,1,0.3,stable,0.512
Charles Mix,0,0.0,0,-4.6,stable,0.5118999999999999
Marion,0,0.0,0,2.5,stable,0.5118999999999999
Citrus,0,0.0,1,-2.2,stable,0.5118
Spink,0,0.0,0,6.2,stable,0.5114000000000001
Haralson,0,0.0,0,0.8,stable,0.5114000000000001
Terrebonne,1,48.05,1,0.7,rising,0.5113000000000001
Scott,0,0.0,0,-3.2,stable,0.5113000000000001
Tipton,0,0.0,0,3.0,stable,0.5112
Clinch,0,0.0,0,-0.2,stable,0.5112
Dickson,0,0.0,0,0.9,stable,0.511
Owen,0,0.0,0,0.2,stable,0.511
Onslow,2,62.24,1,1.5,stable,0.511
Franklin,0,0.0,0,1.0,rising,0.5109
Bell,0,0.0,0,-0.1,stable,0.5107999999999999
Campbell,0,0.0,0,0.5,stable,0.5107999999999999
Trousdale,0,0.0,0,-1.4,stable,0.5107
Muscatine,0,0.0,4,0.1,stable,0.5107
Jackson,0,0.0,0,0.5,stable,0.5107
Cortland,1,51.35,0,-0.3,stable,0.5106
Wapello,0,0.0,2,0.2,stable,0.5105
Lampasas,0,0.0,0,2.0,stable,0.5104
Brookings,0,0.0,0,-0.7,stable,0.5102000000000001
Wyoming,0,0.0,2,-1.9,stable,0.5102000000000001
Sequatchie,0,0.0,0,-1.8,stable,0.5101
Wheeler,0,0.0,1,-4.3,stable,0.5101
Marion,0,0.0,1,-1.0,stable,0.5101
Wexford,2,91.87,1,-1.3,stable,0.5101
Dallas,0,0.0,1,0.7,stable,0.51
Philadelphia,2,83.43,4,-1.5,falling,0.5098999999999999
Jackson,0,0.0,0,0.3,stable,0.5098999999999999
Union,0,0.0,1,3.8,stable,0.5098
Overton,0,0.0,0,-0.1,stable,0.5097
Muskingum,1,35.59,1,-0.3,stable,0.5095999999999999
Nassau,14,603.8399999999999,16,-1.0,falling,0.5094
Newton,0,0.0,0,-0.1,stable,0.5093000000000001
Coahoma,1,39.43,2,-0.3,stable,0.5093000000000001
Lonoke,0,0.0,0,-0.3,stable,0.5092
Barrow,0,0.0,1,-0.1,stable,0.5092
Wayne,0,0.0,0,-2.9,stable,0.5091
Cheatham,0,0.0,0,-4.6,falling,0.509
Racine,1,31.02,2,1.5,stable,0.5089
Polk,1,35.6,1,-1.0,falling,0.5088
Rush,0,0.0,0,0.6,stable,0.5088
Todd,0,0.0,0,3.2,rising,0.5088
Meagher,0,0.0,0,-15.7,stable,0.5087
McDuffie,0,0.0,0,1.0,stable,0.5087
Heard,0,0.0,6,0.4,stable,0.5086
Hopewell City,0,0.0,5,4.0,stable,0.5086
Goochland,0,0.0,0,-0.3,stable,0.5086
Luzerne,2,92.66999999999999,5,0.5,stable,0.5086
Dallas,0,0.0,0,2.4,stable,0.5085000000000001
Spencer,0,0.0,0,-0.1,stable,0.5085000000000001
Aurora,0,0.0,0,-2.1,stable,0.5084
Stephens,0,0.0,0,0.2,stable,0.5083
Crawford,0,0.0,0,1.8,stable,0.5079999999999999
Wayne,2,100.0,12,-1.4,falling,0.5079
White,0,0.0,0,-0.6,stable,0.5078
Clay,0,0.0,0,0.0,stable,0.5078
Washington,0,0.0,1,0.7,stable,0.5075
Clinton,1,30.34,2,-0.4,stable,0.5075
Lee,0,0.0,0,4.2,rising,0.5073
Calhoun,0,0.0,0,0.7,rising,0.5073
White,0,0.0,4,2.5,stable,0.5072
Genesee,2,87.27000000000001,3,-0.6,stable,0.5072
Scott,0,0.0,1,-0.2,stable,0.5072
Delaware,3,138.34,9,0.7,stable,0.5071
Hardin,0,0.0,0,0.9,stable,0.507
Lycoming,1,42.24,4,-0.4,stable,0.507
Kendall,0,0.0,1,-0.6,stable,0.507
Petroleum,0,0.0,0,-21.2,stable,0.507
Cimarron,0,0.0,0,-4.5,stable,0.5069
Sussex,3,127.86,1,-0.7,falling,0.5069
Buena Vista City,0,0.0,0,-3.3,stable,0.5069
Pike,0,0.0,0,-3.1,stable,0.5067
Vernon,0,0.0,0,0.8,stable,0.5067
Terrell,0,0.0,0,-1.5,falling,0.5065999999999999
Prairie,0,0.0,0,-1.3,stable,0.5065999999999999
Des Moines,1,29.73,1,0.1,stable,0.5065999999999999
Okmulgee,0,0.0,0,0.2,stable,0.5065
Pamlico,0,0.0,0,-2.3,stable,0.5065
Madison,1,58.41,1,0.4,stable,0.5064
Pike,0,0.0,0,0.4,stable,0.5063000000000001
Mercer,0,0.0,5,-7.7,falling,0.5062
Butler,0,0.0,0,-0.3,stable,0.5061
Simpson,0,0.0,0,-3.4,falling,0.5061
Lincoln,2,37.67,0,0.1,stable,0.5061
Peach,1,42.24,0,-0.1,stable,0.5061
Penobscot,2,120.71,7,0.5,stable,0.506
Meigs,0,0.0,1,6.7,stable,0.5058
Clarke,0,0.0,0,0.7,stable,0.5056
Columbia,1,70.71,0,-1.8,stable,0.5055
Schuylkill,1,31.02,9,-0.6,stable,0.5054000000000001
Arenac,0,0.0,0,2.4,stable,0.5054000000000001
Seneca,1,35.52,1,-0.3,stable,0.5053
McLean,0,0.0,1,-8.8,stable,0.5053
Stewart,0,0.0,1,1.6,stable,0.5052
Oneida,1,34.2,3,-0.4,falling,0.5051
Morrow,0,0.0,0,0.9,stable,0.505
Creek,1,50.0,0,-0.2,stable,0.5049
Douglas,0,0.0,1,-1.4,stable,0.5047999999999999
St Martin,0,0.0,0,-0.1,stable,0.5047999999999999
Perry,0,0.0,0,1.2,stable,0.5046
Marion,2,105.65,1,-0.9,stable,0.5046
Pope,0,0.0,0,3.9,stable,0.5046
Pike,0,0.0,0,6.2,stable,0.5042000000000001
Ford,0,0.0,1,2.4,stable,0.5042000000000001
Woodford,0,0.0,0,-1.2,falling,0.5041
Kent,1,0.0,0,-0.3,stable,0.504
Grays Harbor,0,0.0,3,-0.5,falling,0.504
Breckinridge,0,0.0,0,0.1,stable,0.5039
Washington,0,0.0,0,-0.4,stable,0.5036
Washington,0,0.0,1,-3.0,stable,0.5033
King and Queen,0,0.0,1,-3.1,stable,0.5033
Rockingham,8,378.13,3,-1.1,stable,0.5032
Calhoun,0,0.0,0,2.6,stable,0.5031
Nottoway,0,0.0,0,-0.9,stable,0.5031
Kitsap,8,352.48,1,-0.2,stable,0.5031
Yates,0,0.0,1,-0.2,stable,0.503
Kearney,0,0.0,1,-1.5,stable,0.5029
Tishomingo,0,0.0,0,4.0,stable,0.5029
Larue,0,0.0,0,0.4,stable,0.5027
Greenbrier,0,0.0,0,1.8,stable,0.5027
Vermilion,0,0.0,0,-0.3,stable,0.5027
Price,0,0.0,1,2.3,stable,0.5025
Ashley,0,0.0,1,5.7,rising,0.5025
Cameron,0,0.0,0,-3.8,stable,0.5024
Blackford,0,0.0,1,-2.5,stable,0.5023
Casey,0,0.0,0,-0.1,stable,0.5023
Bureau,1,70.71,2,2.9,stable,0.5023
Lehigh,3,142.54,1,-0.7,stable,0.5022000000000001
Dodge,0,0.0,1,1.0,stable,0.5022000000000001
Pasco,0,0.0,5,-2.3,stable,0.5022000000000001
Saline,0,0.0,2,-1.3,stable,0.5021
Harford,1,40.3,2,0.8,stable,0.5021
Union,0,0.0,0,-3.5,stable,0.502
Fayette,1,50.54,0,0.3,stable,0.5019
Mercer,3,145.93,1,1.0,stable,0.5019
Cleveland,1,48.98,5,1.2,stable,0.5016
Orange,2,73.61,2,-0.6,falling,0.5015
Warren,1,28.9,5,-7.3,stable,0.5015
