name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Davidson Gas Producers LLC,35.8413,-80.1835,Waste,North Carolina,Davidson,37057
Decatur-Morgan Co LFG Recovery Project,34.6236,-87.1011,Waste,Alabama,Morgan,1103
Deertrack Park Gas Recovery,43.09,-88.7397,Waste,Wisconsin,Jefferson,55055
Denton Power LLC,33.1919,-97.0761,Waste,Texas,Denton,48121
Des Plaines Gas Recovery,42.0671,-87.8862,Waste,Illinois,Cook,17031
Desert View Power,33.586,-116.0873,Waste,California,Riverside,6065
Dillard Complex,43.0895,-123.4156,Waste,Oregon,Douglas,41019
Dinuba Energy,36.5715,-119.4192,Waste,California,Fresno,6019
Domtar Paper Co LLC Plymouth NC,35.8628,-76.7831,Waste,North Carolina,Washington,37187
Dorchester Biomass,33.2386,-80.4503,Waste,South Carolina,Orangeburg,45075
Douglas County Forest Products,43.2898,-123.3616,Waste,Oregon,Douglas,41019
Dry Creek LFG to Energy Project,42.3844,-122.7718,Waste,Oregon,Jackson,41029
Dutchess Cnty Resource Recovery Facility,41.647,-73.943,Waste,New York,Dutchess,36027
EKS Landfill,44.7806,-93.3094,Waste,Minnesota,Scott,27139
Eagle Valley (MI),42.7225,-83.2631,Waste,Michigan,Oakland,26125
Eagle Valley Clean Energy LLC Biomass,39.6481,-106.9431,Waste,Colorado,Eagle,8037
Earthmovers LFGTE,41.6229,-85.9752,Waste,Indiana,Elkhart,18039
East Millinocket Mill,45.6219,-68.5756,Waste,Maine,Penobscot,23019
Eastern Correctional Institute,38.159,-75.704,Waste,Maryland,Somerset,24039
Eastern Landfill Gas LLC,39.3897,-76.392,Waste,Maryland,Baltimore,24005
El Nido Facility,37.1867,-120.4903,Waste,California,Merced,6047
Elk City Station,41.3839,-96.2544,Waste,Nebraska,Douglas,31055
Enderlin,46.6144,-97.5765,Waste,North Dakota,Ransom,38073
Enoree Phase II Landfill Gas Recovery,34.8008,-82.1847,Waste,South Carolina,Greenville,45045
Enterprise Sugar Factory,29.9036,-91.7256,Waste,Louisiana,Iberia,22045
Evergreen BioPower LLC,44.7708,-122.612,Waste,Oregon,Linn,41043
Evergreen Community Power,40.3256,-75.9228,Waste,Pennsylvania,Berks,42011
FC Landfill Energy,39.3678,-77.3489,Waste,Maryland,Frederick,24021
Fairhaven Power,40.7995,-124.2028,Waste,California,Humboldt,6023
Fairless Hills,40.1405,-74.7506,Waste,New Jersey,Burlington,34005
Farmers Branch Renewable Energy Facility,33.0311,-96.9572,Waste,Texas,Denton,48121
Fernandina Plant,30.6612,-81.473,Waste,Florida,Nassau,12089
Fiber Recovery  Inc.,44.8875,-89.3859,Waste,Wisconsin,Marathon,55073
Fighting Creek LFGTE Plant,47.5317,-116.93,Waste,Idaho,Kootenai,16055
Finch Paper,43.3084,-73.6376,Waste,New York,Warren,36113
Finley Buttes Landfill Gas,45.69,-119.61,Waste,Oregon,Morrow,41049
Fitchburg Gas Recovery,42.5354,-71.8481,Waste,Massachusetts,Worcester,25027
Five Oaks Gas Recovery,39.5678,-89.3683,Waste,Illinois,Christian,17021
Flambeau River Papers,45.9356,-90.4472,Waste,Wisconsin,Price,55099
Florence Mill,34.1497,-79.5606,Waste,South Carolina,Florence,45041
Four Peaks Camino Real,31.8111,-106.5933,Waste,New Mexico,Dona Ana,35013
Frederick County LFGTE Facility,39.1408,-78.0975,Waste,Virginia,Winchester City,51840
Frey Farm Landfill,39.9589,-76.4442,Waste,Pennsylvania,Lancaster,42071
Front Range Project,40.0294,-105.0047,Waste,Colorado,Boulder,8013
Fulton LFGTE Facility,43.0142,-74.4739,Waste,New York,Fulton,36035
G2 Energy Hay Rd,38.3147,-121.8336,Waste,California,Solano,6095
G2 Energy Marion LLC,29.1229,-82.0555,Waste,Florida,Marion,12083
G2 Energy Ostrom Road LLC,39.0728,-121.3992,Waste,California,Yuba,6115
GLRA Landfill,40.3664,-76.4931,Waste,Pennsylvania,Lebanon,42075
GRS Arbor Hills,42.3953,-83.55799999999998,Waste,Michigan,Wayne,26163
GRS C&C,42.3563,-85.0058,Waste,Michigan,Eaton,26045
GRS CMS,35.3533,-80.668,Waste,North Carolina,Cabarrus,37025
GRS Fall River,41.7487,-71.1065,Waste,Massachusetts,Bristol,25005
GRS Pine Bend,44.787,-93.0556,Waste,Minnesota,Dakota,27037
Gainesville Renewable Energy Center,29.7675,-82.3964,Waste,Florida,Alachua,12001
Gaston County Renewable Energy Center,35.3857,-81.172,Waste,North Carolina,Gaston,37071
Gaylord Container Bogalusa,30.7811,-89.8575,Waste,Louisiana,Washington,22117
Genesee Power Station LP,43.0851,-83.6694,Waste,Michigan,Genesee,26049
Geneva,41.795,-80.91,Waste,Ohio,Ashtabula,39007
Georgetown LFGTE,33.4536,-79.3161,Waste,South Carolina,Georgetown,45043
Georgia LFG Oak Grove Plant,33.965,-83.7656,Waste,Georgia,Barrow,13013
Georgia LFG Pine Ridge Plant,33.2442,-84.12200000000001,Waste,Georgia,Henry,13151
Georgia LFG Richland Creek Plant,34.1271,-84.0334,Waste,Georgia,Gwinnett,13135
Georgia-Pacific Big Island,37.534,-79.357,Waste,Virginia,Rockbridge,51163
Glades Pike Generation Plant,40.0067,-79.041,Waste,Pennsylvania,Somerset,42111
Glasgow LFGTE,36.9874,-85.9575,Waste,Kentucky,Barren,21009
Glendale Energy Power Plant,33.5403,-112.3064,Waste,Arizona,Maricopa,4013
Granby LFG,42.2273,-72.5472,Waste,Massachusetts,Hampshire,25015
Grand Blanc Generating Station,42.9088,-83.7251,Waste,Michigan,Genesee,26049
Granger Electric Generating Station #1,42.7729,-84.5237,Waste,Michigan,Ingham,26065
Granger Electric Generating Station #2,42.791,-84.6957,Waste,Michigan,Clinton,26037
Granger Electric of Watervliet,42.1758,-86.28,Waste,Michigan,Berrien,26021
Granger Energy of Morgantown,40.1746,-75.9137,Waste,Pennsylvania,Lancaster,42071
Grayling Generating Station,44.6049,-84.6906,Waste,Michigan,Crawford,26039
Greater Detroit Resource Recovery,42.3678,-83.0514,Waste,Michigan,Wayne,26163
Greater New Bedford LFG Utiliz. Facility,41.725,-70.97800000000002,Waste,Massachusetts,Bristol,25005
Green City Recovery  LLC,38.3453,-84.5489,Waste,Kentucky,Scott,21209
Green Gas-Port Charlotte LLC,26.7908,-81.9653,Waste,Florida,Lee,12071
Green Knight Energy Center,40.8592,-75.2627,Waste,Pennsylvania,Northampton,42095
Green Valley LFGTE,38.3967,-82.8088,Waste,Kentucky,Boyd,21019
H Power,21.3,-158.0986,Waste,Hawaii,Honolulu,15003
HL Power,40.3683,-120.2648,Waste,California,Lassen,6035
Halifax County Biomass,36.7014,-78.8733,Waste,Virginia,Halifax,51083
Hardin County LFGTE,37.7258,-85.7258,Waste,Kentucky,Bullitt,21029
Harrisburg Facility,40.2442,-76.8539,Waste,Pennsylvania,Dauphin,42043
Henrico,37.6788,-77.5678,Waste,Virginia,Henrico,51087
Hernando,28.669,-82.4857,Waste,Florida,Citrus,12017
Hidden Hollow Energy,43.6972,-116.2714,Waste,Idaho,Ada,16001
High Acres Gas Recovery,43.0817,-77.3817,Waste,New York,Monroe,36055
Hill AFB LFG Facility  Bldg #737,41.129,-111.9641,Waste,Utah,Davis,49011
Hillman Power LLC,45.0688,-83.8932,Waste,Michigan,Montmorency,26119
Hillsborough County Resource Recovery,27.9549,-82.3405,Waste,Florida,Hillsborough,12057
Hoge Lumber,40.4885,-84.3183,Waste,Ohio,Auglaize,39011
Hopewell Power Station,37.2978,-77.283,Waste,Virginia,Hopewell City,51670
Horry Land Fill Gas Site,33.8125,-78.9672,Waste,South Carolina,Horry,45051
Humboldt Sawmill Company,40.4728,-124.1014,Waste,California,Humboldt,6023
Huntington Resource Recovery Facility,40.8814,-73.2906,Waste,New York,Suffolk,36103
Hyland LFGTE Facility,42.2853,-78.0061,Waste,New York,Allegany,36003
I 95 Landfill Phase II,38.6892,-77.2375,Waste,Virginia,Fairfax,51059
I 95 Municipal Landfill Phase I,38.6892,-77.2375,Waste,Virginia,Fairfax,51059
Indeck Energy-Alexandria,43.5608,-71.7806,Waste,New Hampshire,Grafton,33009
