name,latitude,longitude,primary_fuel,state,normalized_county,Fips
CP Bloom Wind LLC,37.4863,-99.9247,Wind,Kansas,Ford,20057
CTV Power Purchase Contract Trust,35.0583,-118.3083,Wind,California,Kern,6029
Cabazon Wind Farm,33.915,-116.7103,Wind,California,Riverside,6065
Cabazon Wind Partners,33.9172,-116.735,Wind,California,Riverside,6065
California Ridge Wind Energy LLC,40.2117,-87.8783,Wind,Illinois,Vermilion,17183
Callahan Divide Wind Energy Center,32.3039,-100.0217,Wind,Texas,Taylor,48441
Camelot Wind LLC,41.9253,-70.64,Wind,Massachusetts,Plymouth,25023
Cameron Ridge LLC,35.075,-118.3158,Wind,California,Kern,6029
Cameron Wind 1 LLC,26.1953,-97.4661,Wind,Texas,Cameron,48061
Camp Grove Wind Farm,41.0906,-89.6398,Wind,Illinois,Stark,17175
Camp Reed,42.8119,-115.0489,Wind,Idaho,Elmore,16039
Campbell County Wind Farm,45.7533,-100.275,Wind,South Dakota,Campbell,46021
Campbell Hill Windpower,43.0145,-105.999,Wind,Wyoming,Converse,56009
Canadian Hills Wind,35.6297,-98.0247,Wind,Oklahoma,Canadian,40017
Caney River Wind Project,37.46,-96.42,Wind,Kansas,Elk,20049
Canton Mountain Wind,44.5147,-70.3031,Wind,Maine,Oxford,23017
Cape Cod Air Force Station - 6 SWS,41.7525,-70.5389,Wind,Massachusetts,Barnstable,25001
Capricorn Ridge Wind LLC,31.9261,-100.9281,Wind,Texas,Sterling,48431
Caprock Wind Farm,34.9806,-103.3539,Wind,New Mexico,Quay,35037
Carousel Wind Farm LLC,39.334,-102.173,Wind,Colorado,Kit Carson,8063
Carroll Area Wind Farm,41.9414,-94.8861,Wind,Iowa,Carroll,19027
Carroll Wind Farm,42.1622,-94.93,Wind,Iowa,Carroll,19027
Carstensen Wind,44.0247,-96.4369,Wind,Minnesota,Pipestone,27117
Cashton Greens Wind Farm,43.7339,-90.805,Wind,Wisconsin,Monroe,55081
Casper Wind Farm,42.8847,-106.2214,Wind,Wyoming,Natrona,56025
Casselman Wind Power Project,39.85,-79.138,Wind,Pennsylvania,Somerset,42111
Cassia Gulch,42.8744,-115.0172,Wind,Idaho,Elmore,16039
Cassia Wind,42.8444,-115.0369,Wind,Idaho,Elmore,16039
Cedar Bluff Wind  LLC,38.6976,-99.7293,Wind,Kansas,Ellis,20051
Cedar Creek II,40.9475,-103.7839,Wind,Nebraska,Kimball,31105
Cedar Creek Wind,40.8944,-104.0206,Wind,Wyoming,Laramie,56021
Cedar Hills Wind Farm,46.2456,-103.7672,Wind,North Dakota,Bowman,38011
Cedar Point Wind,39.4218,-103.6781,Wind,Colorado,Lincoln,8073
Cedar Ridge,43.6926,-88.3297,Wind,Wisconsin,Fond du Lac,55039
Cedro Hill Wind LLC,27.5761,-98.9053,Wind,Texas,Jim Hogg,48247
Centennial Wind Farm,36.6377,-99.6019,Wind,Oklahoma,Harper,40059
Central Plains Wind Farm,38.5032,-101.1615,Wind,Kansas,Wichita,20203
Century,42.5644,-93.6369,Wind,Iowa,Wright,19197
Chamberlain Wind Project,43.8485,-99.2476,Wind,South Dakota,Brule,46015
Champepaden Wind Power,43.8997,-95.9506,Wind,Minnesota,Pipestone,27117
Champion Wind Farm LLC,32.3983,-100.6481,Wind,Texas,Nolan,48353
Chanarambie Power Partners  LLC,44.011,-96.0446,Wind,Minnesota,Pipestone,27117
Chandler Hills Wind Farm,43.917,-95.954,Wind,Minnesota,Pipestone,27117
Chapman Ranch Wind I,27.5925,-97.5008,Wind,Texas,Nueces,48355
Charles City Wind Farm,43.0003,-92.62,Wind,Iowa,Floyd,19067
Charlestown Wind Turbine,42.3914,-71.0708,Wind,Massachusetts,Middlesex,25017
Chestnut Flats Wind Farm,40.5228,-78.4769,Wind,Pennsylvania,Blair,42013
Chisholm View Wind Project,36.5747,-97.6736,Wind,Oklahoma,Grant,40053
Chopin Wind LLC,45.88,-118.4633,Wind,Oregon,Umatilla,41059
Christoffer Wind Energy I LLC,43.6256,-95.3725,Wind,Iowa,Dickinson,19059
Christoffer Wind Energy II LLC,43.6256,-95.3672,Wind,Iowa,Dickinson,19059
Christoffer Wind Energy III LLC,43.6256,-95.3619,Wind,Iowa,Dickinson,19059
Christoffer Wind Energy IV LLC,43.6256,-95.3567,Wind,Iowa,Dickinson,19059
Cimarron Bend Wind Project I  LLC,37.355,-99.991,Wind,Kansas,Clark,20025
Cimarron Bend Wind Project II  LLC,37.355,-99.991,Wind,Kansas,Clark,20025
Cimarron Wind Energy LLC,37.8739,-100.2803,Wind,Kansas,Gray,20069
Cimarron Windpower II,37.9013,-100.372,Wind,Kansas,Gray,20069
Cirrus Wind 1 LLC,33.0331,-101.6875,Wind,Texas,Lynn,48305
City of Soledad Water Reclamation,36.4211,-121.3403,Wind,California,Monterey,6053
Cloud County Wind Farm,39.4375,-97.6644,Wind,Kansas,Cloud,20029
Coastal Energy Project,46.7936,-124.0654,Wind,Washington,Grays Harbor,53027
Cohocton Wind Project,42.45,-77.52,Wind,New York,Steuben,36101
Colbec's Corner  LLC,35.2542,-101.1866,Wind,Texas,Carson,48065
Cold Springs Windfarm,43.0281,-115.4005,Wind,Idaho,Elmore,16039
Colorado Green Holdings LLC,37.7033,-102.6231,Wind,Colorado,Baca,8009
Colorado Highlands Wind,40.7569,-102.7431,Wind,Nebraska,Deuel,31049
Com Adam 1WF-1,41.6603,-89.2497,Wind,Illinois,Lee,17103
Combine Hills I,45.94300000000001,-118.591,Wind,Oregon,Umatilla,41059
Community Wind North LLC,44.2456,-96.4064,Wind,Minnesota,Pipestone,27117
Community Wind South,43.7136,-95.8028,Wind,Minnesota,Nobles,27105
Conception,40.2572,-94.6722,Wind,Missouri,Gentry,29075
Condon Windpower LLC,45.2766,-120.2794,Wind,Oregon,Gilliam,41021
Cooper Farms VW Project,40.9058,-84.5703,Wind,Ohio,Van Wert,39161
Coram Energy LLC,35.075,-118.3417,Wind,California,Kern,6029
Coram Energy LLC (ECT),35.0583,-118.3417,Wind,California,Kern,6029
Coram Tehachapi,35.0663,-118.3394,Wind,California,Kern,6029
Cotton Plains Wind Farm,34.0603,-101.1876,Wind,Texas,Floyd,48153
Cottonwood Wind Energy Center,40.2402,-98.406,Wind,Nebraska,Webster,31181
Courtenay Wind Farm,47.1797,-98.5947,Wind,North Dakota,Stutsman,38093
Cow Branch,40.4535,-95.4683,Wind,Missouri,Atchison,29005
Crane Creek Wind Energy Center,43.3978,-92.4736,Wind,Minnesota,Fillmore,27045
Crescent Ridge,41.25,-89.5708,Wind,Illinois,Bureau,17011
Creston Ridge II  LLC,41.677,-97.391,Wind,Nebraska,Madison,31119
Creston Ridge Wind Farm,41.678,-97.386,Wind,Nebraska,Madison,31119
Criterion,39.4047,-79.29,Wind,Maryland,Garrett,24023
Crofton Bluffs Wind LLC,42.6983,-97.58,Wind,Nebraska,Knox,31107
Cross Winds Energy Park,43.6103,-83.4856,Wind,Michigan,Huron,26063
Crossroads Wind Farm,36.035,-98.7222,Wind,Oklahoma,Dewey,40043
Crosswind Energy Project,43.0475,-94.9228,Wind,Iowa,Pocahontas,19151
Crystal Lake 3 LLC,43.3192,-93.8836,Wind,Iowa,Hancock,19081
Cumberland Rose,41.2269,-94.4347,Wind,Iowa,Adair,19001
DL Windy Acres LLC,43.6514,-95.3686,Wind,Minnesota,Jackson,27063
DOE Golden NWTC Turbine Side,39.9139,-105.2153,Wind,Colorado,Boulder,8013
Danielson Wind Farms LLC,45.0717,-94.7522,Wind,Minnesota,Kandiyohi,27067
Day County Wind LLC,45.215,-97.9056,Wind,South Dakota,Brown,46013
DeWind Frisco,36.4985,-101.6053,Wind,Oklahoma,Texas,40139
Deerfield Wind Energy  LLC,43.9419,-82.8987,Wind,Michigan,Huron,26063
Deerfield Wind LLC,42.8772,-72.9937,Wind,Vermont,Windham,50025
Delta Wind Farm,64.0139,-145.5967,Wind,Alaska,Southeast Fairbanks,2240
Dempsey Ridge Wind Farm,35.5298,-99.8145,Wind,Oklahoma,Roger Mills,40129
Dept of Corrections NCCI Wind,42.5722,-71.9447,Wind,Massachusetts,Worcester,25027
Dermott Wind,32.8638,-100.9751,Wind,Texas,Scurry,48415
Desert Meadow Windfarm,43.0566,-115.452,Wind,Idaho,Elmore,16039
Desert Sky,30.9178,-102.0867,Wind,Texas,Pecos,48371
Desert Wind Farm  LLC,36.31,-76.42,Wind,North Carolina,Perquimans,37143
Diablo Wind LLC,37.7637,-121.6144,Wind,California,San Joaquin,6077
Diamond Willow Wind Facility,46.2753,-104.1836,Wind,Montana,Fallon,30025
Difwind Farms Ltd I,33.8989,-116.5728,Wind,California,Riverside,6065
Difwind Farms Ltd II,33.8937,-116.5678,Wind,California,Riverside,6065
Difwind Farms Ltd V,33.8874,-116.5782,Wind,California,Riverside,6065
Difwind Farms Ltd VI,35.0506,-118.1714,Wind,California,Kern,6029
Dillon Wind LLC,33.9393,-116.5527,Wind,California,Riverside,6065
Dinosaur Point,37.0478,-121.1708,Wind,California,Merced,6047
Drift Sand Wind Project LLC,34.8278,-97.9572,Wind,Oklahoma,Grady,40051
Dry Lake Wind II LLC,34.6062,-110.1734,Wind,Arizona,Navajo,4017
Dry Lake Wind LLC,34.6596,-110.2842,Wind,Arizona,Navajo,4017
Dunlap,42.0436,-106.1603,Wind,Wyoming,Natrona,56025
Durbin Creek Windfarm (Burnt River),44.3531,-117.3231,Wind,Idaho,Washington,16087
Dutch Hill Wind Project,42.5456,-77.4967,Wind,New York,Steuben,36101
Dutch Wind Energy,33.8942,-116.5603,Wind,California,Riverside,6065
EC&R Panther Creek Wind Farm I,32.1008,-101.4514,Wind,Texas,Howard,48227
EC&R Panther Creek Wind Farm II,31.9361,-101.2983,Wind,Texas,Glasscock,48173
EC&R Panther Creek Wind Farm III,31.9925,-101.1167,Wind,Texas,Sterling,48431
EC&R Papalote Creek I LLC,27.9386,-97.4586,Wind,Texas,San Patricio,48409
EC&R Papalote Creek II LLC,27.9958,-97.2967,Wind,Texas,San Patricio,48409
EDF Renewable Windfarm V Inc,38.1167,-121.8333,Wind,California,Contra Costa,6013
EXC Wind 10,35.8081,-101.9986,Wind,Texas,Moore,48341
EXC Wind 11,35.8119,-101.9789,Wind,Texas,Moore,48341
EXC Wind 4,36.4144,-101.3864,Wind,Texas,Hansford,48195
EXC Wind 5,36.4453,-101.8761,Wind,Texas,Sherman,48421
EXC Wind 6,36.4669,-101.8222,Wind,Oklahoma,Texas,40139
EXC Wind 7,36.0264,-101.9,Wind,Texas,Moore,48341
EXC Wind 8,36.0075,-101.8614,Wind,Texas,Moore,48341
EXC Wind 9,35.9614,-101.8033,Wind,Texas,Moore,48341
East Winds Project,33.8909,-116.5415,Wind,California,Riverside,6065
Eastridge Wind Project,43.9358,-95.9222,Wind,Minnesota,Murray,27101
Echo Wind Park,43.8825,-83.1614,Wind,Michigan,Huron,26063
Eclipse Wind Farm,41.5547,-94.685,Wind,Iowa,Guthrie,19077
EcoGrove Wind LLC,42.4515,-89.8784,Wind,Illinois,Stephenson,17177
Edom Hills Project 1 LLC,33.8817,-116.4603,Wind,California,Riverside,6065
El Cabo Wind,34.6511,-105.4617,Wind,New Mexico,Torrance,35057
Elbow Creek Wind Project LLC,32.1408,-101.3986,Wind,Texas,Howard,48227
Electra Wind Farm,34.1029,-99.1187,Wind,Texas,Wilbarger,48487
Elk City LLC,35.4642,-99.8983,Wind,Oklahoma,Beckham,40009
Elk River Wind,37.5797,-96.5503,Wind,Kansas,Butler,20015
Elk Wind Farm,42.5839,-91.3708,Wind,Iowa,Delaware,19055
Elkhorn Ridge Wind LLC,42.6978,-97.6189,Wind,Nebraska,Knox,31107
Elkhorn Valley Wind Farm,45.0852,-117.8163,Wind,Oregon,Union,41061
Elm Creek Wind II LLC,43.6848,-94.8799,Wind,Minnesota,Jackson,27063
Elm Creek Wind LLC,43.7542,-94.9497,Wind,Minnesota,Jackson,27063
Ensign Wind LLC,37.6145,-100.2787,Wind,Kansas,Gray,20069
Eolos Wind Energy Research Field Station,44.7283,-93.0481,Wind,Minnesota,Dakota,27037
Equity Industrial Turbines,42.6256,-70.6565,Wind,Massachusetts,Essex,25009
Euclid Farm  Stamco N-54,41.6022,-81.4969,Wind,Ohio,Cuyahoga,39035
Eurus Combine Hills Turbine Ranch 2,45.94300000000001,-118.591,Wind,Oregon,Umatilla,41059
Eva Creek Wind,64.0583,-148.9,Wind,Alaska,Denali,2068
FPL E Somerset Windpower LLC,39.9792,-79.0128,Wind,Pennsylvania,Somerset,42111
FPL Energy Ashtabula Wind LLC,47.1294,-97.8853,Wind,North Dakota,Barnes,38003
FPL Energy Burleigh County Wind,47.1167,-100.7333,Wind,North Dakota,Burleigh,38015
FPL Energy Crystal Lake Wind II LLC,43.2737,-93.8,Wind,Iowa,Winnebago,19189
FPL Energy Crystal Lake Wind LLC,43.2125,-93.8311,Wind,Iowa,Hancock,19081
FPL Energy Montezuma Winds LLC,38.1636,-121.7966,Wind,California,Solano,6095
FPL Energy North Dakota Wind I/II,46.3272,-98.8984,Wind,North Dakota,Dickey,38021
FPL Energy Oliver Wind I LLC,47.1528,-101.1977,Wind,North Dakota,Oliver,38065
FPL Energy Oliver Wind II LLC,47.1528,-101.1977,Wind,North Dakota,Oliver,38065
FPL Energy Story Wind LLC,42.1044,-93.2722,Wind,Iowa,Marshall,19127
FPL Energy Vansycle LLC (OR),46.0128,-118.8162,Wind,Washington,Benton,53005
FPL Energy Vansycle LLC (WA),46.06,-118.917,Wind,Washington,Benton,53005
Fair Wind,39.4046,-79.2911,Wind,Maryland,Garrett,24023
Fairfield Wind,47.7233,-111.9653,Wind,Montana,Teton,30099
Fairhaven Wind,41.6391,-70.8734,Wind,Massachusetts,Bristol,25005
Fairmont Wind,43.575,-94.4467,Wind,Minnesota,Martin,27091
Farmers City Wind LLC,40.575,-95.5228,Wind,Iowa,Fremont,19071
Fenner Wind,42.989,-75.7625,Wind,New York,Madison,36053
Fenton Wind Farm,43.8528,-96.0183,Wind,Minnesota,Pipestone,27117
Fey Windfarm LLC,44.0364,-96.0736,Wind,Minnesota,Pipestone,27117
Findlay Wind Farm,41.1012,-83.6444,Wind,Ohio,Hancock,39063
Fire Island Wind,61.13,-150.2436,Wind,Alaska,Anchorage,2020
Flat Ridge 2 Wind Energy LLC,37.3665,-98.2611,Wind,Kansas,Harper,20077
Flat Ridge Wind Energy LLC,37.3764,-98.4583,Wind,Kansas,Barber,20007
Flat Ridge Wind Farm,37.3692,-98.4603,Wind,Kansas,Barber,20007
Flat Water Wind Farm LLC,40.0011,-95.9289,Wind,Kansas,Nemaha,20131
Florence Hills LLC,44.2297,-96.225,Wind,Minnesota,Lincoln,27081
Fluvanna,32.9319,-101.1436,Wind,Texas,Scurry,48415
Flying Cloud Power Partners LLC,43.3897,-95.2997,Wind,Iowa,Dickinson,19059
Fontanelle,41.3389,-94.57,Wind,Iowa,Adair,19001
Foote Creek I,41.6283,-106.2013,Wind,Wyoming,Carbon,56007
Foote Creek II,41.6575,-106.1892,Wind,Wyoming,Carbon,56007
Foote Creek III,41.6665,-106.1833,Wind,Wyoming,Carbon,56007
Foote Creek IV,41.6744,-106.1805,Wind,Wyoming,Carbon,56007
Forest Creek Wind Farm LLC,32.039,-101.22,Wind,Texas,Sterling,48431
Fort Hays State University Wind Farm,38.8743,-99.4052,Wind,Kansas,Ellis,20051
Forward Wind Energy Center,43.6161,-88.4969,Wind,Wisconsin,Dodge,55027
Forward Windpower LLC,40.0853,-78.8633,Wind,Pennsylvania,Somerset,42111
Fossil Gulch,42.8581,-114.9494,Wind,Idaho,Gooding,16047
Foundation AB,38.2322,-122.0928,Wind,California,Solano,6095
Foundation CDCR LAC,34.691,-118.221,Wind,California,Los Angeles,6037
Foundation Cemex BMQ,34.6231,-117.1125,Wind,California,San Bernardino,6071
Foundation Cemex Madison,38.6928,-121.9325,Wind,California,Yolo,6113
Foundation Cemex River Plant,34.5619,-117.3072,Wind,California,San Bernardino,6071
Foundation IE,34.0847,-117.5294,Wind,California,San Bernardino,6071
Foundation NWNA,33.9142,-116.7492,Wind,California,Riverside,6065
Foundation RRM,33.9172,-116.815,Wind,California,Riverside,6065
Foundation ST,37.7142,-121.5217,Wind,California,San Joaquin,6077
Foundation Scheid Vineyards,36.2745,-121.1916,Wind,California,Monterey,6053
Foundation Superior Farms,38.42,-121.8181,Wind,California,Solano,6095
Foundation Wal-Mart Red Bluff,40.1111,-122.1939,Wind,California,Tehama,6103
Four Corners Windfarm LLC,45.7286,-119.4181,Wind,Oregon,Umatilla,41059
Four Mile Canyon Windfarm LLC,45.6447,-119.4533,Wind,Oregon,Morrow,41049
Fourmile Ridge,39.6411,-79.0111,Wind,Maryland,Allegany,24001
Fowler Ridge IV Wind Farm LLC,40.6206,-87.3781,Wind,Indiana,Benton,18007
