Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
Sporlan Valve Plant #1,35.15,Missouri,Franklin,NPL Site,38.5519,-91.00668,29071
"Chemfax, Inc.",38.4,Mississippi,Harrison,NPL Site,30.428888,-89.089166,28047
"American Creosote Works, Inc.",62.2,Mississippi,Winston,NPL Site,33.111111,-89.05833299999998,28159
Picayune Wood Treating,51.03,Mississippi,Pearl River,NPL Site,30.524444,-89.689722,28109
Sonford Products,31.66,Mississippi,Rankin,NPL Site,32.29251,-90.14222,28121
Kerr-McGee Chemical Corp - Columbus,52.47,Mississippi,Lowndes,NPL Site,33.509767,-88.409686,28087
Red Panther Chemical Company,39.43,Mississippi,Coahoma,NPL Site,34.187408000000005,-90.561625,28027
Southeastern Wood Preserving,48.03,Mississippi,Madison,NPL Site,32.618061,-90.018189,28089
Mississippi Phosphates Corporation,50.0,Mississippi,Jackson,NPL Site,30.372103000000006,-88.491006,28059
Rockwell International Wheel & Trim,50.0,Mississippi,Grenada,NPL Site,33.803244,-89.801661,28043
Anaconda Co. Smelter,58.71,Montana,Deer Lodge,NPL Site,46.116661,-112.915,30023
Libby Ground Water Contamination,37.67,Montana,Lincoln,NPL Site,48.38,-115.5389,30053
Milltown Reservoir Sediments,43.78,Montana,Missoula,NPL Site,46.866661,-113.8667,30063
Silver Bow Creek/Butte Area,63.76,Montana,Deer Lodge,NPL Site,46.039,-112.7948,30023
East Helena Site,61.65,Montana,Lewis and Clark,NPL Site,46.581669,-111.9183,30049
Idaho Pole Co.,38.29,Montana,Gallatin,NPL Site,45.688331,-111.0217,30031
Mouat Industries,31.66,Montana,Stillwater,NPL Site,45.635,-109.2475,30095
Montana Pole and Treating,33.03,Montana,Silver Bow,NPL Site,45.99,-112.5483,30093
Basin Mining Area,61.15,Montana,Jefferson,NPL Site,46.272778,-112.263333,30043
Upper Tenmile Creek Mining Area,50.0,Montana,Lewis and Clark,NPL Site,46.482083,-112.245139,30049
Lockwood Solvent Ground Water Plume,45.69,Montana,Yellowstone,NPL Site,45.803611,-108.455,30111
Barker Hughesville Mining District,50.0,Montana,Cascade,NPL Site,47.083333,-110.630278,30013
Carpenter Snow Creek Mining District,50.0,Montana,Cascade,NPL Site,46.961389,-110.725833,30013
Libby Asbestos,0.0,Montana,Lincoln,NPL Site,48.391528,-115.551111,30053
Flat Creek IMM,51.33,Montana,Mineral,NPL Site,47.240278,-114.852778,30061
ACM Smelter and Refinery,54.26,Montana,Cascade,NPL Site,47.528603,-111.246467,30013
Anaconda Aluminum Co Columbia Falls Reduction Plant,68.39,Montana,Flathead,NPL Site,48.387875,-114.130297,30029
Bypass 601 Ground Water Contamination,37.93,North Carolina,Cabarrus,NPL Site,35.4096,-80.6093,37025
Jadco-Hughes Facility,42.0,North Carolina,Gaston,NPL Site,35.275831,-81.041111,37071
"North Carolina State University (Lot 86, Farm Unit #1)",48.36,North Carolina,Wake,NPL Site,35.80181599999999,-78.713588,37183
