country,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,state,normalized_county,5years_generation_gwh
USA,Ada Cogeneration LP,33.1,42.9627,-85.4941,Gas,1990,Michigan,Kent,878.913
USA,Ada Dam,1.4,42.9506,-85.4859,Hydro,1984,Michigan,Kent,29.255000000000003
USA,Adair Wind Farm,174.8,41.4236,-94.665,Wind,2009,Iowa,Adair,2441.4840000000004
USA,Adams Ave MS and HS,3.1,39.4114,-74.5309,Solar,2011,New Jersey,Atlantic,
USA,Adams Community Solar Garden III LLC,1.2,39.7867,-104.5877,Solar,2015,Colorado,Adams,
USA,Adams Community Solar Garden LLC,1.2,39.7876,-104.5859,Solar,2015,Colorado,Adams,
USA,Adams Farm Solar,3.0,42.6,-72.2,Solar,2013,Massachusetts,Worcester,
USA,Adams Wind,154.3,40.92,-94.6717,Wind,2015,Iowa,Adams,
USA,Adams Wind Farm,24.0,43.5548,-92.7241,Wind,2003,Minnesota,Mower,292.078
USA,Adams Wind Generations LLC,20.0,44.9169,-94.7356,Wind,2011,Minnesota,Renville,312.399
USA,Adelanto Solar  LLC,20.0,34.5572,-117.3775,Solar,2015,California,San Bernardino,
USA,Adelanto Solar II  LLC,7.0,34.5572,-117.3775,Solar,2015,California,San Bernardino,
USA,Adelanto Solar Project,10.0,34.5508,-117.4353,Solar,2012,California,San Bernardino,92.742
USA,Adera Solar,20.0,37.1206,-120.3249,Solar,2016,California,Madera,
USA,Adkins Energy LLC,5.0,42.3622,-89.8036,Gas,2002,Illinois,Stephenson,119.88700000000001
USA,Adobe San Jose,1.2,37.3306,-121.8931,Gas,2010,California,Santa Clara,39.254259999999995
USA,Adrian,2.0,43.6371,-95.9328,Oil,2005,Minnesota,Nobles,0.177
USA,Adrian Energy Associates LLC,2.4,41.89100000000001,-83.9929,Waste,1995,Michigan,Lenawee,84.08899999999998
USA,Advance Stores Company  Inc,1.0,42.015,-72.5119,Solar,2014,Connecticut,Hartford,
USA,Aeolus Wind Facility,3.0,36.4725,-101.3278,Wind,2004,Texas,Hansford,8.76478
USA,Aera San Ardo Cogen Facility,6.2,35.9533,-120.86,Gas,1989,California,San Luis Obispo,236.88000000000002
USA,Aerojet I,3.0,38.6135,-121.1629,Solar,2010,California,Sacramento,30.697
USA,Aerojet II,2.7,38.6086,-121.1703,Solar,2010,California,Sacramento,19.724
USA,Afton Generating Station,287.0,32.1142,-106.8465,Gas,2003,New Mexico,Dona Ana,401.978
USA,Agassiz Beach LLC,1.9,47.0053,-96.4356,Wind,2001,Minnesota,Clay,25.797999999999995
USA,Agawam Solar,1.5,42.0819,-72.6144,Solar,2012,Massachusetts,Hampden,10.562000000000001
USA,Agnews Power Plant,32.0,37.4058,-121.9272,Gas,1990,California,Santa Clara,104.333
USA,AgriReNew,1.0,41.6919,-90.8664,Biomass,2013,Iowa,Cedar,17.987
USA,Agrilectric Power Partners Ltd,12.1,30.2012,-93.1269,Waste,1984,Louisiana,Calcasieu,416.976
USA,Agrium Kenai Nitrogen Operations,12.5,60.6732,-151.3784,Gas,1977,Alaska,Kenai Peninsula,
USA,Agriwind,8.4,41.3017,-89.6236,Wind,2007,Illinois,Bureau,47.727000000000004
USA,Agua Caliente Solar Project,347.7,32.9774,-113.4945,Solar,2013,Arizona,Yuma,3628.7129999999997
USA,Agua Fria,613.5,33.5561,-112.2153,Gas,1964,Arizona,Maricopa,483.819998
USA,Agua Mansa Power Plant,60.5,34.0414,-117.3603,Gas,2003,California,Riverside,96.12599999999999
USA,Aidlin Geothermal Power Plant,25.0,38.8339,-122.881,Geothermal,1989,California,Sonoma,624.852
USA,Ainsworth Wind,59.4,42.4489,-99.8917,Wind,2005,Nebraska,Brown,911.0240000000001
USA,Air Products Port Arthur,169.1,29.8665,-93.9651,Gas,2006,Texas,Jefferson,
USA,Airport 1 Solar (DIA),1.5,39.8994,-104.6753,Solar,2010,Colorado,Weld,
USA,Airport Industrial,10.0,38.2844,-104.5308,Oil,2002,Colorado,Pueblo,-0.888
USA,Ajax Solar,5.0,34.8309,-79.1194,Solar,2017,North Carolina,Robeson,
USA,Akron Recycle Energy Plant,4.0,41.0733,-81.5306,Gas,1979,Ohio,Summit,
USA,Akron WRF,1.8,41.1533,-81.5689,Biomass,2014,Ohio,Summit,
USA,Al Turi,2.4,41.4043,-74.3767,Waste,2006,New York,Orange,42.644000000000005
USA,Alabama Pine Pulp,69.0,31.5825,-87.4889,Biomass,1991,Alabama,Monroe,1471.336056
USA,Alabama River Pulp,48.0,31.5825,-87.4889,Biomass,1978,Alabama,Monroe,939.5165700000001
USA,Alameda,54.8,37.7886,-122.2889,Gas,1986,California,Alameda,13.155
USA,Alamo,19.6,34.8158,-118.6867,Hydro,1986,California,Kern,236.565
USA,Alamo 6,105.0,30.9931,-102.2708,Solar,2017,Texas,Upton,
USA,Alamo Solar,20.0,34.6822,-117.3475,Solar,2015,California,San Bernardino,
USA,Alamogordo Solar Energy Center,5.0,32.8657,-105.9998,Solar,2011,New Mexico,Otero,57.021
USA,Alamosa,53.2,37.4594,-105.8947,Gas,1975,Colorado,Alamosa,19.901
USA,Albany,6.2,40.245,-94.339,Oil,1974,Missouri,Gentry,0.008
USA,Albany Green Energy,54.5,31.5559,-84.1103,Waste,2017,Georgia,Dougherty,
USA,Albany Medical Ctr Cogen Plant,4.6,42.655,-73.7777,Gas,2013,New York,Albany,
USA,Albany Solar,10.0,45.6413,-94.5993,Solar,2017,Minnesota,Stearns,
USA,Albemarle Hospital Unit,1.8,35.3636,-80.1939,Oil,2006,North Carolina,Stanly,0.399
USA,Albemarle Prime Power Park,3.6,35.4072,-80.1518,Oil,2006,North Carolina,Stanly,0.40800000000000003
USA,Albemarle Solar Center LLC,5.0,35.2931,-77.5569,Solar,2015,North Carolina,Lenoir,
USA,Albeni Falls,42.0,48.1802,-116.9986,Hydro,1955,Washington,Pend Oreille,934.434
USA,Albertson Solar LLC,5.0,35.093,-77.8127,Solar,2015,North Carolina,Duplin,
USA,Albertville,4.0,34.3634,-86.2239,Oil,2000,Alabama,Marshall,0.0
USA,Albuquerque Solar Energy Center,2.0,35.169000000000004,-106.6,Solar,2011,New Mexico,Bernalillo,21.038
USA,Alcona,8.0,44.562,-83.8045,Hydro,1924,Michigan,Iosco,149.88400000000001
USA,Alcova,41.4,42.5484,-106.7175,Hydro,1955,Wyoming,Natrona,485.40200000000004
USA,Alden Bailey Power Plant,10.9,46.1584,-123.406,Gas,2002,Washington,Wahkiakum,0.59094
USA,Alder,50.0,46.8016,-122.3102,Hydro,1946,Washington,Pierce,1144.324
USA,Alethea I,2.8,40.0006,-74.735,Solar,2011,New Jersey,Burlington,18.065
USA,Alexander,4.2,45.1875,-89.7553,Hydro,1925,Wisconsin,Lincoln,129.498
USA,Alexander Wind Farm LLC,50.7,38.4247,-99.5075,Wind,2016,Kansas,Rush,
USA,Alexandria,9.2,45.8892,-95.3797,Oil,1964,Minnesota,Douglas,0.10068
USA,Algodones,45.0,35.3844,-106.4642,Gas,1955,New Mexico,Sandoval,
USA,Algona,16.1,43.0733,-94.2392,Oil,1982,Iowa,Kossuth,168.170004
USA,Algonquin Power Sanger LLC,61.5,36.6842,-119.5522,Gas,2008,California,Fresno,614.019
USA,Algonquin SKIC 10 Solar  LLC,10.0,35.1261,-119.2434,Solar,2017,California,Kern,
USA,Algonquin SKIC20 Solar LLC,20.0,35.1261,-119.2433,Solar,2015,California,Kern,
USA,Algonquin Windsor Locks,71.0,41.9227,-72.6255,Gas,1994,Connecticut,Hartford,500.78966
USA,Alice Falls Hydro Project,2.1,44.5192,-73.4648,Hydro,1991,New York,Essex,1.0979999999999999
USA,Allatoona,86.6,34.1637,-84.7282,Hydro,1950,Georgia,Bartow,
USA,Allegan Dam,2.6,42.5638,-85.954,Hydro,1939,Michigan,Allegan,70.22900000000001
USA,Allegany Cogen,67.0,42.5027,-78.0686,Gas,1994,New York,Allegany,323.64399999999995
USA,Allegheny Energy Units 3 4 & 5,556.0,40.5453,-79.7686,Gas,2003,Pennsylvania,Westmoreland,7313.147
