name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Augustus Farm  LLC,35.5997,-77.6391,Solar,North Carolina,Pitt,37147
Auten Road Farm  LLC,35.305,-81.1373,Solar,North Carolina,Gaston,37071
Avalon Solar,32.0014,-110.9606,Solar,Arizona,Pima,4019
Avalon Solar II,32.0009,-110.9584,Solar,Arizona,Pima,4019
Avenal Park,35.9897,-120.11,Solar,California,Kings,6031
Avra Valley Solar,32.3717,-111.2828,Solar,Arizona,Pima,4019
Axio Green LLC,42.5761,-72.61,Solar,Massachusetts,Franklin,25011
Axium Modesto Solar,37.7342,-120.9956,Solar,California,Stanislaus,6099
Ayers Village Solar,42.7919,-71.1775,Solar,New Hampshire,Rockingham,33015
Ayrshire,35.2831,-81.6153,Solar,North Carolina,Cleveland,37045
Azalea Solar  LLC,32.9808,-82.5917,Solar,Georgia,Washington,13303
B.R. Corcoran CSG,45.0695,-93.6432,Solar,Minnesota,Hennepin,27053
B.R. Sartell CSG,45.665,-94.2254,Solar,Minnesota,Stearns,27145
B.R. Sauk Rapids CSG,45.6236,-94.0782,Solar,Minnesota,Benton,27009
BBB Corporate Headquarters,40.6972,-74.305,Solar,New Jersey,Union,34039
BC Solar,42.175,-120.3598,Solar,Oregon,Lake,41037
BG Stewart Solar Farm  LLC,34.9705,-80.3896,Solar,North Carolina,Union,37179
BJ's Wholesale Club  Inc- Uxbridge,42.0197,-71.6041,Solar,Massachusetts,Worcester,25027
BJ's Wholesale Club Inc Dist Center,40.0985,-74.8259,Solar,Pennsylvania,Bucks,42017
BNB Camden Solar,39.939,-75.108,Solar,New Jersey,Camden,34007
BPU Solar Farm,39.1664,-94.6969,Solar,Missouri,Platte,29165
BRE,36.3725,-78.5985,Solar,North Carolina,Granville,37077
BWC Swan Pond River,41.7956,-71.2266,Solar,Massachusetts,Bristol,25005
BWC Wading River One  Two  Three CSG,42.0853,-71.5267,Solar,Massachusetts,Worcester,25027
Babcock Solar Energy Center,26.8616,-81.751,Solar,Florida,Lee,12071
Badger 1,33.498000000000005,-112.8135,Solar,Arizona,Maricopa,4013
Bailey Farm LLC,35.7875,-78.1397,Solar,North Carolina,Nash,37127
Bakatsias Solar,36.0724,-79.3475,Solar,North Carolina,Alamance,37001
Baker PV 1,36.2703,-77.0603,Solar,North Carolina,Hertford,37091
Baker Point,39.5703,-77.3634,Solar,Maryland,Frederick,24021
Bakersfield 111,35.3176,-118.9899,Solar,California,Kern,6029
Bakersfield College Solar 01,35.4118,-118.9686,Solar,California,Kern,6029
Bakersfield Industrial PV 1,35.33,-118.9931,Solar,California,Kern,6029
Bakersfield PV 1,35.325,-118.9815,Solar,California,Kern,6029
Baldock Solar Highway,45.2694,-122.7717,Solar,Oregon,Clackamas,41005
Balsam,35.4589,-79.1739,Solar,North Carolina,Lee,37105
Baltimore City B,39.436,-76.22,Solar,Maryland,Harford,24025
Baltimore City D,39.436,-76.22,Solar,Maryland,Harford,24025
Baltimore City F,39.436,-76.22,Solar,Maryland,Harford,24025
Baltimore City G,39.436,-76.22,Solar,Maryland,Harford,24025
Bandera Electric Coop PV,29.681,-99.7622,Solar,Texas,Real,48385
Barilla Solar,30.96,-103.35,Solar,Texas,Pecos,48371
Barker Solar  LLC,34.6356,-78.9287,Solar,North Carolina,Robeson,37155
Barnhill Road Solar  LLC,36.2692,-76.2995,Solar,North Carolina,Pasquotank,37139
Barnstable Landfill,41.6597,-70.3956,Solar,Massachusetts,Barnstable,25001
Barnwell Solar,33.236999999999995,-81.351,Solar,South Carolina,Barnwell,45011
Barre II Solar Project,42.362,-72.109,Solar,Massachusetts,Worcester,25027
Barrett Farm Solar - Phase I,41.9463,-71.8838,Solar,Connecticut,Windham,9015
Barrett PV,42.1622,-71.8645,Solar,Massachusetts,Worcester,25027
Barton Solar Farm,44.7254,-72.184,Solar,Vermont,Orleans,50019
Bashaw Solar CSG 1  LLC,42.7893,-70.88,Solar,Massachusetts,Essex,25009
Battleboro Farm,36.0586,-77.7608,Solar,North Carolina,Nash,37127
Battleground,35.22,-81.33,Solar,North Carolina,Cleveland,37045
Bayboro Solar Farm,35.1483,-76.8102,Solar,North Carolina,Pamlico,37137
Bayshore Solar A  LLC,34.6678,-118.2981,Solar,California,Los Angeles,6037
Bayshore Solar B  LLC,34.6783,-118.3026,Solar,California,Los Angeles,6037
Bayshore Solar C  LLC,34.6813,-118.3141,Solar,California,Los Angeles,6037
Beacon Solar Plant Site 2,35.2658,-117.9992,Solar,California,Kern,6029
Beacon Solar Plant Site 5,35.2489,-118.0344,Solar,California,Kern,6029
Bear Creek Solar,35.5403,-79.4491,Solar,North Carolina,Moore,37125
Bear Creek Solar,38.1364,-121.1489,Solar,California,San Joaquin,6077
BearPond Solar Center LLC,36.2761,-78.3772,Solar,North Carolina,Vance,37181
Bearford Farm Solar Project,34.61,-77.9242,Solar,North Carolina,Pender,37141
Beaufort Solar  LLC,35.456,-77.134,Solar,North Carolina,Beaufort,37013
Beaver Run,41.153,-74.6381,Solar,New Jersey,Sussex,34037
Beaver Solar LLC,40.6914,-80.3239,Solar,Pennsylvania,Beaver,42007
Bed Bath & Beyond DC Port Reading NJ,40.5683,-74.2425,Solar,New Jersey,Middlesex,34023
Bedford Solar,37.335,-79.48100000000002,Solar,Virginia,Bedford,51019
Beetle Solar,35.1785,-81.665,Solar,North Carolina,Cleveland,37045
Belchertown,42.2595,-72.4004,Solar,Massachusetts,Hampshire,25015
Bellevue Solar Project,45.1122,-123.2347,Solar,Oregon,Yamhill,41071
Bellingham PV,42.075,-71.7031,Solar,Massachusetts,Worcester,25027
Belmont,39.72,-86.1931,Solar,Indiana,Marion,18097
Belwood Farm,35.47,-81.5083,Solar,North Carolina,Gaston,37071
Benjamin Moore & Co. Solar,40.8256,-74.7147,Solar,New Jersey,Morris,34027
Benthall Bridge PV 1,36.42,-77.1003,Solar,North Carolina,Hertford,37091
BentonSun CSG  LLC,44.7662,-93.8579,Solar,Minnesota,Carver,27019
Beringer,38.5108,-122.4797,Solar,California,Napa,6055
Berkley East Solar LLC,41.8239,-71.0414,Solar,Massachusetts,Bristol,25005
Berkshire 1,42.1144,-73.4053,Solar,Massachusetts,Berkshire,25003
Bernards Solar,40.7027,-74.5816,Solar,New Jersey,Somerset,34035
Bernhardt Furniture Solar Farm,35.8499,-81.5409,Solar,North Carolina,Caldwell,37027
Berry Plastics Solar,40.6983,-75.1519,Solar,New Jersey,Warren,34041
Beryl Solar Plant,37.6392,-113.6458,Solar,Utah,Washington,49053
Bethel Price Solar  LLC,35.7947,-77.3811,Solar,North Carolina,Pitt,37147
Bethel Solar,35.75,-77.385,Solar,North Carolina,Pitt,37147
Bethlehem - East,42.539,-73.8243,Solar,New York,Albany,36001
Bethlehem - West,42.539,-73.8243,Solar,New York,Albany,36001
Beulaville,34.9,-77.78,Solar,North Carolina,Duplin,37061
Beverly,42.59,-70.9119,Solar,Massachusetts,Essex,25009
Big Lake Holdco Solar CSG,45.3346,-93.7756,Solar,Minnesota,Sherburne,27141
Biltmore Solar Fields,35.5612,-82.5884,Solar,North Carolina,Buncombe,37021
Bird Machine Solar Farm,42.1096,-71.2667,Solar,Massachusetts,Norfolk,25021
Biscoe Solar LLC,35.3839,-79.7703,Solar,North Carolina,Montgomery,37123
Bison Solar LLC,40.8638,-105.0111,Solar,Colorado,Larimer,8069
Bizzell Church Solar 1  LLC,35.5494,-78.1799,Solar,North Carolina,Johnston,37101
Bizzell Church Solar 2,35.5444,-78.1772,Solar,North Carolina,Johnston,37101
Black Cap Solar Plant,42.175,-120.3626,Solar,Oregon,Lake,41037
Black Eagle Solar  LLC,47.5475,-111.254,Solar,Montana,Cascade,30013
Black Mountain Solar LLC,35.0227,-114.1627,Solar,Arizona,Mohave,4015
BlackRock-Matrix,40.3622,-74.4797,Solar,New Jersey,Middlesex,34023
Bladen Solar,34.8235,-78.6235,Solar,North Carolina,Sampson,37163
Bladenboro Farm,34.535,-78.8131,Solar,North Carolina,Bladen,37017
Bladenboro Solar  LLC,34.5478,-78.8177,Solar,North Carolina,Bladen,37017
Blue Lake Solar,44.7964,-93.4296,Solar,Minnesota,Hennepin,27053
Blue Sky One,36.9078,-105.9853,Solar,Colorado,Conejos,8021
Blue Wing Solar Energy Generation,29.3042,-98.4003,Solar,Texas,Bexar,48029
BlueWave Capital - Grafton (SREC II),42.2255,-71.6627,Solar,Massachusetts,Worcester,25027
Blueberry One,35.3139,-78.1542,Solar,North Carolina,Wayne,37191
Blythe Solar 110  LLC,33.68,-114.742,Solar,California,Riverside,6065
Blythe Solar II  LLC,33.68,-114.73,Solar,California,Riverside,6065
Boaz Farm Solar,35.4678,-79.1344,Solar,North Carolina,Lee,37105
Bolthouse S&P and Rowen Farms Solar,34.5644,-117.6933,Solar,California,San Bernardino,6071
Bolton Farm,36.4216,-78.1323,Solar,North Carolina,Warren,37185
Bolton PV,42.4497,-71.6431,Solar,Massachusetts,Worcester,25027
Bondi Solar,35.1341,-77.5385,Solar,North Carolina,Lenoir,37107
Bonnybrooke PV,33.053000000000004,-111.34,Solar,Arizona,Pinal,4021
Bordentown Solar,40.0389,-74.7766,Solar,New Jersey,Burlington,34005
Boseman Solar Center LLC,36.0081,-77.81,Solar,North Carolina,Nash,37127
Boston Scientific Solar,42.2933,-71.0339,Solar,Massachusetts,Suffolk,25025
Boulder Solar II  LLC,35.85,-114.944,Solar,Nevada,Clark,32003
Boulder Solar Power  LLC,35.348,-114.97,Solar,Nevada,Clark,32003
Bourne (MA) - Holliston I,42.1779,-71.4546,Solar,Massachusetts,Middlesex,25017
Bradley PV1,36.2606,-77.0764,Solar,North Carolina,Hertford,37091
Braintree Landfill Solar,42.2073,-70.9978,Solar,Massachusetts,Norfolk,25021
Braley Road 2,41.7517,-70.9669,Solar,Massachusetts,Bristol,25005
Brentwood Solar,40.7814,-73.2439,Solar,New York,Suffolk,36103
Brewster Landfill,41.7456,-70.1031,Solar,Massachusetts,Barnstable,25001
Brickyard Solar,40.1894,-74.1545,Solar,New Jersey,Monmouth,34025
Bridgeport Disposal Solar Farm,39.7875,-75.3508,Solar,New Jersey,Gloucester,34015
Bridgewater Solar,41.9641,-70.9719,Solar,Massachusetts,Plymouth,25023
Brighton PV Solar Plant,39.9825,-104.9408,Solar,Colorado,Adams,8001
Broadridge Solar  LLC,34.5229,-78.9572,Solar,North Carolina,Robeson,37155
Broadway Solar Center  LLC,34.3093,-78.8314,Solar,North Carolina,Columbus,37047
Brockelman,42.4814,-71.7169,Solar,Massachusetts,Worcester,25027
Brook Street Solar 1 CSG,41.9559,-70.7861,Solar,Massachusetts,Plymouth,25023
Brookfield Solar 2013 LLC,42.2561,-72.0679,Solar,Massachusetts,Worcester,25027
Brookside,41.9876,-71.584,Solar,Rhode Island,Providence,44007
Browne Solar LLC,42.2008,-72.3222,Solar,Massachusetts,Hampden,25013
Bruce A Henry Solar Farm,38.664,-75.4005,Solar,Delaware,Sussex,10005
Bryan Solar  LLC,29.6,-104.3,Solar,Texas,Presidio,48377
Bryan Solar Field,41.4764,-84.5861,Solar,Ohio,Williams,39171
Buckeye Union HS District 201,33.4192,-112.5761,Solar,Arizona,Maricopa,4013
Buckhorn Solar Plant,38.0233,-112.7317,Solar,Utah,Iron,49021
Buckingham Solar LLC,37.5029,-78.3792,Solar,Virginia,Cumberland,51049
Buddy Solar,35.5419,-80.3633,Solar,North Carolina,Rowan,37159
Buidling L,33.9129,-118.0419,Solar,California,Los Angeles,6037
Building F,33.9144,-118.0502,Solar,California,Los Angeles,6037
Building G,33.9129,-118.0506,Solar,California,Los Angeles,6037
Bullock Solar  LLC,36.4754,-78.3151,Solar,North Carolina,Warren,37185
Bunn Level Farm  LLC,35.3086,-78.7743,Solar,North Carolina,Harnett,37085
Butler Plaza,29.6231,-82.38,Solar,Florida,Alachua,12001
Butler Solar Farm 20,32.5755,-84.3165,Solar,Georgia,Taylor,13269
Butler Solar Power Project,38.27,-94.35,Solar,Missouri,Bates,29013
Butler Solar Project 103,32.5619,-84.2758,Solar,Georgia,Taylor,13269
