County,State,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Generation_5years_Total,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate,NPL_Status,Powerplants_Status
Eau Claire,Wisconsin,0,0.0,1,347.2000000000001,0.5,stable,0.4471,No NPL Sites,One Harmful Powerplants
Beckham,Oklahoma,0,0.0,0,5564.903,4.2,stable,0.447,No NPL Sites,No Harmful Powerplants
Lincoln,Maine,0,0.0,0,0.0,0.0,stable,0.447,No NPL Sites,No Harmful Powerplants
Gladwin,Michigan,0,0.0,0,134.157,-2.6,stable,0.447,No NPL Sites,No Harmful Powerplants
Glascock,Georgia,0,0.0,0,0.0,0.0,unknown,0.4469,No NPL Sites,No Harmful Powerplants
Falls,Texas,0,0.0,0,0.0,-2.5,stable,0.4469,No NPL Sites,No Harmful Powerplants
Okaloosa,Florida,0,0.0,0,34.533,-1.8,stable,0.4468,No NPL Sites,No Harmful Powerplants
Pembina,North Dakota,0,0.0,0,0.0,-1.9,stable,0.4467,No NPL Sites,No Harmful Powerplants
Pike,Indiana,0,0.0,1,49310.495107,3.7,stable,0.4467,No NPL Sites,One Harmful Powerplants
Madison,Alabama,1,50.0,0,3525.81924,2.1,stable,0.4467,Have NPL Sites,No Harmful Powerplants
Galax City,Virginia,0,0.0,0,279.68600000000004,3.7,stable,0.4467,No NPL Sites,No Harmful Powerplants
Wichita,Texas,0,0.0,2,32.652,0.6,stable,0.4467,No NPL Sites,Two Harmful Powerplants
Charles,Maryland,1,50.0,1,3916.753,-0.1,stable,0.4466,Have NPL Sites,One Harmful Powerplants
Logan,Arkansas,0,0.0,0,0.0,4.5,stable,0.4466,No NPL Sites,No Harmful Powerplants
Glacier,Montana,0,0.0,0,5572.34202,-1.8,stable,0.4466,No NPL Sites,No Harmful Powerplants
Charlotte,Florida,0,0.0,0,0.0,-2.5,stable,0.4465,No NPL Sites,No Harmful Powerplants
Columbus,North Carolina,1,48.03,0,313.26599999999996,-0.7,stable,0.4465,Have NPL Sites,No Harmful Powerplants
Fulton,Ohio,0,0.0,1,148.054,5.2,rising,0.4465,No NPL Sites,One Harmful Powerplants
Henrico,Virginia,1,30.34,4,821.9300059999999,0.2,stable,0.4465,Have NPL Sites,More Than Two Harmful Powerplants
Hot Springs,Wyoming,0,0.0,0,322.02,-8.7,stable,0.4465,No NPL Sites,No Harmful Powerplants
Waupaca,Wisconsin,0,0.0,0,0.0,-4.3,stable,0.4463,No NPL Sites,No Harmful Powerplants
Smith,Tennessee,0,0.0,0,3698.262,0.9,stable,0.4463,No NPL Sites,No Harmful Powerplants
Oconee,South Carolina,0,0.0,3,104464.411,1.4,stable,0.4463,No NPL Sites,More Than Two Harmful Powerplants
Fayette,Alabama,0,0.0,0,0.0,3.9,stable,0.4463,No NPL Sites,No Harmful Powerplants
Madison,Tennessee,1,35.22,0,0.0,1.7,stable,0.4462,Have NPL Sites,No Harmful Powerplants
Volusia,Florida,1,39.83,3,19420.673006,-1.1,stable,0.4462,Have NPL Sites,More Than Two Harmful Powerplants
Wabash,Indiana,0,0.0,1,0.21899999999999997,4.5,stable,0.4461000000000001,No NPL Sites,One Harmful Powerplants
Bay,Michigan,0,0.0,4,11705.299023,2.0,stable,0.4461000000000001,No NPL Sites,More Than Two Harmful Powerplants
Mitchell,Iowa,0,0.0,1,53.501000000000005,-0.2,stable,0.4461000000000001,No NPL Sites,One Harmful Powerplants
Cumberland,Virginia,0,0.0,0,1.759,4.5,stable,0.4460000000000001,No NPL Sites,No Harmful Powerplants
Thayer,Nebraska,0,0.0,2,1.93,-4.2,stable,0.4460000000000001,No NPL Sites,Two Harmful Powerplants
