name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Brunner Island,40.0961,-76.6962,Gas,Pennsylvania,Lancaster,42071
Brunot Island,40.4649,-80.0438,Gas,Pennsylvania,Allegheny,42003
Brunswick County Power Station,36.765,-77.7139,Gas,Virginia,Brunswick,51025
Brush Generation Facility,40.2415,-103.631,Gas,Colorado,Morgan,8087
Bryan (OH),41.4718,-84.5431,Gas,Ohio,Williams,39171
Bryan (TX),30.6474,-96.3723,Gas,Texas,Brazos,48041
Buchanan Generation LLC,37.1753,-81.9614,Gas,Virginia,Tazewell,51185
Buck,35.7133,-80.3767,Gas,North Carolina,Rowan,37159
Bucknell University,40.955,-76.8788,Gas,Pennsylvania,Union,42119
Bucksport Generation LLC,44.5738,-68.8046,Gas,Maine,Hancock,23009
Bull Street Plant,33.4898,-80.8703,Gas,South Carolina,Orangeburg,45075
Bunge North America East LLC,40.8465,-84.9333,Gas,Indiana,Adams,18001
Bunge Oil,41.1546,-87.8548,Gas,Illinois,Kankakee,17091
Buras,29.3591,-89.5373,Gas,Louisiana,Plaquemines,22075
Burlingame,38.7551,-95.8368,Gas,Kansas,Osage,20139
Burlington (KS),38.1934,-95.75,Gas,Kansas,Coffey,20031
Burnside Alumina Plant,30.1342,-90.9175,Gas,Louisiana,Ascension,22005
Butler-Warner Generation Plant,35.0986,-78.8294,Gas,North Carolina,Cumberland,37051
C D McIntosh Jr,28.0801,-81.9229,Gas,Florida,Polk,12105
C P Kelco San Diego Plant,32.6947,-117.1436,Gas,California,San Diego,6073
C R Wing Cogen Plant,32.2732,-101.4224,Gas,Texas,Howard,48227
C W Burdick,40.9228,-98.3269,Gas,Nebraska,Hall,31079
CBS Studio Center,34.145,-118.3908,Gas,California,Los Angeles,6037
CC Perry K,39.7631,-86.1667,Gas,Indiana,Marion,18097
CCCSD Wastewater Treatment Plnt,37.9978,-122.0697,Gas,California,Contra Costa,6013
CCSU Co-Gen-STBY Gen,41.6914,-72.7686,Gas,Connecticut,Hartford,9003
CCSU Fuel Cell Project,41.6919,-72.7611,Gas,Connecticut,Hartford,9003
CES Placerita Power Plant,34.3801,-118.4999,Gas,California,Los Angeles,6037
