name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Juniper Ridge Hydroelectric Project,44.1427,-121.2697,Hydro,Oregon,Deschutes,41017
K W Company,42.5948,-114.4353,Hydro,Idaho,Twin Falls,16083
Kaheka Hydro,20.8886,-156.3569,Hydro,Hawaii,Maui,15009
Kalaheo Hydro,21.9361,-159.5286,Hydro,Hawaii,Kauai,15007
Kamargo,44.0117,-75.7967,Hydro,New York,Jefferson,36045
Kanaka,39.5589,-121.2961,Hydro,California,Yuba,6115
Kankakee Hydro Facility,41.1128,-87.8681,Hydro,Illinois,Kankakee,17091
Kansas River Project,38.974,-95.2351,Hydro,Kansas,Douglas,20045
Kasidaya Creek Hydro,59.4072,-135.3408,Hydro,Alaska,Haines,2100
Kaukauna City Hydro,44.2746,-88.3191,Hydro,Wisconsin,Outagamie,55087
Kaw Hydro,36.6994,-96.9278,Hydro,Oklahoma,Osage,40113
Kaweah 1,36.4651,-118.862,Hydro,California,Tulare,6107
Kaweah 2,36.4613,-118.8799,Hydro,California,Tulare,6107
Kaweah 3,36.4861,-118.8356,Hydro,California,Tulare,6107
Kearney,40.7035,-99.1008,Hydro,Nebraska,Buffalo,31019
Kekawaka Power House,40.0941,-123.509,Hydro,California,Humboldt,6023
Kelly Ridge,39.5318,-121.4912,Hydro,California,Butte,6007
Kent Falls,44.7053,-73.5967,Hydro,New York,Clinton,36019
Kentucky Dam,37.0131,-88.2692,Hydro,Kentucky,Marshall,21157
Keokuk,40.3965,-91.3719,Hydro,Iowa,Lee,19111
Keowee,34.7981,-82.8872,Hydro,South Carolina,Pickens,45077
Kerckhoff,37.0925,-119.5528,Hydro,California,Fresno,6019
Kerckhoff 2,37.0718,-119.558,Hydro,California,Fresno,6019
Kern Canyon,35.4407,-118.7965,Hydro,California,Kern,6029
Kern River 1,35.4603,-118.7796,Hydro,California,Kern,6029
Kern River 3,35.7762,-118.4362,Hydro,California,Kern,6029
Keswick,40.6119,-122.4464,Hydro,California,Shasta,6089
Ketchikan,55.3446,-131.6334,Hydro,Alaska,Ketchikan Gateway,2130
Keystone Dam,36.1508,-96.2517,Hydro,Oklahoma,Creek,40037
Kilarc,40.6778,-121.8733,Hydro,California,Shasta,6089
Kilbourn,43.6258,-89.7808,Hydro,Wisconsin,Columbia,55021
Kimberly Mill,44.2769,-88.3344,Hydro,Wisconsin,Outagamie,55087
King Mill,33.4852,-81.9912,Hydro,Georgia,Richmond,13245
Kings Falls Hydroelectric,43.9173,-75.6338,Hydro,New York,Jefferson,36045
Kings River PH,36.8882,-119.1588,Hydro,California,Fresno,6019
Kingsford,45.808,-88.1251,Hydro,Michigan,Dickinson,26043
Kingsley,41.2114,-101.6681,Hydro,Nebraska,Keith,31101
Kinneytown New Old,41.3686,-73.0856,Hydro,Connecticut,New Haven,9009
Kleber,45.392,-84.3333,Hydro,Michigan,Cheboygan,26031
Knife Falls,46.7266,-92.4486,Hydro,Minnesota,Carlton,27017
Koma Kulshan Associates,48.6802,-121.7233,Hydro,Washington,Snohomish,53061
Kortes,42.1743,-106.8805,Hydro,Wyoming,Carbon,56007
Kosterville,43.6142,-75.3327,Hydro,New York,Oneida,36065
Koyle Ranch Hydroelectric Project,42.9457,-114.7957,Hydro,Idaho,Gooding,16047
LAC Courte Oreilles Hydroelect,45.8883,-91.0769,Hydro,Wisconsin,Sawyer,55113
La Grange,37.6697,-120.4436,Hydro,California,Tuolumne,6109
LaGrande,46.8328,-122.3196,Hydro,Washington,Pierce,53053
Lachute Hydro Lower,43.849,-73.4207,Hydro,New York,Essex,36031
Lachute Hydro Upper,43.8439,-73.4312,Hydro,New York,Essex,36031
Lacomb Irrigation District,44.5975,-122.6854,Hydro,Oregon,Linn,41043
Ladysmith Dam,45.4644,-91.0836,Hydro,Wisconsin,Rusk,55107
Lahontan,39.4625,-119.0667,Hydro,Nevada,Lyon,32019
Lake Blackshear Project,31.8477,-83.94200000000002,Hydro,Georgia,Crisp,13081
Lake Creek Dam,40.4936,-111.3125,Hydro,Utah,Wasatch,49051
Lake Dorothy Hydroelectric Project,58.2325,-134.0533,Hydro,Alaska,Juneau,2110
Lake Hodges Hydroelectric Facility,33.0586,-117.1194,Hydro,California,San Diego,6073
Lake Lure,35.4259,-82.184,Hydro,North Carolina,Rutherford,37161
Lake Lynn Hydro Station,39.7203,-79.8561,Hydro,Pennsylvania,Fayette,42051
Lake Mathews,33.8553,-117.4537,Hydro,California,Riverside,6065
Lake Mendocino,39.1972,-123.1856,Hydro,California,Mendocino,6045
Langdale,32.8138,-85.1678,Hydro,Alabama,Chambers,1017
Last Chance,42.6033,-111.7053,Hydro,Idaho,Caribou,16029
Lateral 10 Ventures,42.6474,-114.8903,Hydro,Idaho,Twin Falls,16083
Laurel Dam,36.9614,-84.27,Hydro,Kentucky,Whitley,21235
Lawrence Hydroelectric Associates,42.6994,-71.1653,Hydro,Massachusetts,Essex,25009
Lay Dam,32.9633,-86.5187,Hydro,Alabama,Shelby,1117
Leaburg,44.1011,-122.6892,Hydro,Oregon,Lane,41039
Lee Creek Water Treatment Facility,35.4845,-94.3929,Hydro,Arkansas,Crawford,5033
Leesville,37.0933,-79.4025,Hydro,Virginia,Pittsylvania,51143
Lemolo 1,43.3558,-122.2494,Hydro,Oregon,Lane,41039
Lemolo 2,43.2806,-122.4025,Hydro,Oregon,Lane,41039
Lewis Smith Dam,33.9406,-87.1077,Hydro,Alabama,Walker,1127
Lewiston Niagara,43.143,-79.02199999999998,Hydro,New York,Niagara,36063
Lewisville,33.0685,-96.9638,Hydro,Texas,Denton,48121
Libby,48.4098,-115.3143,Hydro,Montana,Lincoln,30053
Lighthouse Hill,43.5241,-75.9703,Hydro,New York,Oswego,36075
Lilliwaup Falls Generating,47.4706,-123.1153,Hydro,Washington,Mason,53045
Lime Saddle,39.6988,-121.571,Hydro,California,Butte,6007
Little Chute,44.2799,-88.2556,Hydro,Wisconsin,Outagamie,55087
Little Cottonwood,40.585,-111.8006,Hydro,Utah,Salt Lake,49035
Little Falls (MN),45.975,-94.3691,Hydro,Minnesota,Morrison,27097
Little Falls (WA),47.8217,-117.9167,Hydro,Washington,Lincoln,53043
Little Falls Hydro,43.0403,-74.8506,Hydro,New York,Herkimer,36043
Little Goose,46.5838,-118.0273,Hydro,Washington,Columbia,53013
Little Mac Project,42.6296,-114.6616,Hydro,Idaho,Twin Falls,16083
Little Quinnesec Falls Hydro Project,45.7736,-87.9894,Hydro,Wisconsin,Marinette,55075
Little Wood Hydro Project,43.4252,-114.0256,Hydro,Idaho,Blaine,16013
Lloyd Shoals,33.3208,-83.8419,Hydro,Georgia,Butts,13035
Lochmere Hydroelectric Plant,43.4732,-71.5336,Hydro,New Hampshire,Belknap,33001
Lockhart,34.7792,-81.4561,Hydro,South Carolina,Union,45087
Lockport Powerhouse,41.5697,-88.0789,Hydro,Illinois,Will,17197
Lockville Hydropower,35.6184,-79.0912,Hydro,North Carolina,Chatham,37037
Lockwood Hydroelectric Facility,44.5467,-69.6292,Hydro,Maine,Kennebec,23011
