State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Arkansas,05125,480.9,464.5,497.8,673,stable,-2.7,-8.9,3.9,Saline,AR,0.004809
North Carolina,37027,480.9,462.2,500.2,529,stable,-2.1,-5.2,1.1,Caldwell,NC,0.004809
Tennessee,47097,480.8,446.1,517.7,148,stable,-1.2,-9.1,7.4,Lauderdale,TN,0.004808
Georgia,13015,480.8,461.9,500.3,517,falling,-0.9,-1.4,-0.3,Bartow,GA,0.004808
Texas,48027,480.8,469.1,492.6,1347,stable,0.3,-5.0,5.9,Bell,TX,0.004808
North Carolina,37097,480.8,466.8,495.1,932,stable,-0.1,-2.3,2.1,Iredell,NC,0.004808
Nebraska,31127,480.7,416.9,552.1,45,stable,-5.5,-12.3,1.9,Nemaha,NE,0.004807
Pennsylvania,42013,480.7,465.7,496.2,836,stable,0.9,-2.8,4.7,Blair,PA,0.004807
Oklahoma,40099,480.7,436.0,529.1,90,stable,-5.1,-16.7,8.2,Murray,OK,0.004807
Pennsylvania,42117,480.7,455.1,507.4,286,stable,0.3,-5.1,6.1,Tioga,PA,0.004807
West Virginia,54103,480.7,440.2,524.2,114,stable,-2.0,-6.0,2.1,Wetzel,WV,0.004807
Florida,12093,480.6,454.0,508.5,255,stable,-1.9,-8.5,5.1,Okeechobee,FL,0.004806
Georgia,13221,480.6,436.4,528.4,91,stable,0.2,-0.5,1.0,Oglethorpe,GA,0.004806
Oklahoma,40143,480.4,472.9,488.1,3210,stable,1.8,-0.2,3.8,Tulsa,OK,0.004804
Pennsylvania,42065,480.3,455.6,506.2,303,stable,-0.8,-5.8,4.5,Jefferson,PA,0.004803
Georgia,13123,480.3,449.8,512.5,211,stable,1.1,-0.2,2.4,Gilmer,GA,0.004803
Georgia,13079,480.3,431.7,533.3,79,stable,0.5,-0.7,1.7,Crawford,GA,0.004803
Florida,12035,480.2,464.7,496.3,874,stable,-2.0,-9.2,5.8,Flagler,FL,0.004802
Alabama,01113,480.2,455.7,505.7,300,stable,-4.0,-7.8,0.0,Russell,AL,0.004802
Virginia,51193,480.2,442.2,521.0,135,stable,-2.2,-10.4,6.9,Westmoreland,VA,0.004802
Arkansas,05089,480.2,441.1,522.3,140,falling,-5.2,-9.8,-0.5,Marion,AR,0.004802
Missouri,29111,480.1,425.8,539.8,61,stable,-6.1,-18.5,8.0,Lewis,MO,0.004801000000000001
Indiana,18019,480.1,463.0,497.5,631,stable,-4.9,-9.9,0.3,Clark,IN,0.004801000000000001
Iowa,19113,480.0,467.6,492.7,1178,stable,1.7,-0.9,4.5,Linn,IA,0.0048
Tennessee,47079,480.0,451.6,509.8,234,stable,-1.4,-10.8,9.0,Henry,TN,0.0048
Iowa,19019,479.9,441.9,520.5,124,stable,-0.3,-0.9,0.2,Buchanan,IA,0.0047989999999999994
Georgia,13275,479.9,454.1,506.8,272,falling,-1.1,-2.1,-0.2,Thomas,GA,0.0047989999999999994
California,06103,479.9,458.4,502.1,400,falling,-0.7,-1.2,-0.3,Tehama,CA,0.0047989999999999994
Florida,12109,479.8,468.3,491.7,1391,stable,1.0,-5.7,8.1,St Johns,FL,0.004798
Pennsylvania,42011,479.8,471.1,488.7,2431,stable,-0.1,-3.7,3.5,Berks,PA,0.004798
New Jersey,34019,479.8,464.2,496.0,784,stable,-0.5,-0.9,0.0,Hunterdon,NJ,0.004798
Wisconsin,55031,479.8,453.6,507.2,267,stable,-0.7,-6.3,5.2,Douglas,WI,0.004798
Louisiana,22127,479.7,435.3,527.7,90,stable,-1.0,-2.5,0.5,Winn,LA,0.004797
Pennsylvania,42021,479.7,465.5,494.3,958,stable,0.0,-2.5,2.6,Cambria,PA,0.004797
Wisconsin,55039,479.7,462.5,497.4,624,stable,2.1,-1.9,6.2,Fond du Lac,WI,0.004797
Georgia,13201,479.7,412.8,555.2,40,stable,0.3,-1.5,2.2,Miller,GA,0.004797
