State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Mississippi,28131,484.6,441.4,530.9,99,stable,-3.8,-9.8,2.7,Stone,MS,0.0048460000000000005
Wisconsin,55077,484.4,443.2,528.9,118,stable,2.7,-8.2,14.9,Marquette,WI,0.004843999999999999
Arkansas,05045,484.4,465.9,503.3,542,stable,-1.1,-6.0,4.0,Faulkner,AR,0.004843999999999999
Georgia,13241,484.3,444.7,527.0,127,stable,0.6,-0.4,1.6,Rabun,GA,0.004843
Missouri,29045,484.3,421.1,555.0,46,stable,-1.7,-11.3,9.0,Clark,MO,0.004843
Georgia,13103,484.3,457.3,512.4,262,stable,0.2,-0.8,1.2,Effingham,GA,0.004843
Connecticut,09005,484.2,471.8,496.9,1270,falling,-0.8,-1.2,-0.3,Litchfield,CT,0.004842
Kentucky,21007,484.2,426.8,547.9,55,stable,-0.7,-2.2,0.9,Ballard,KY,0.004842
Montana,30105,484.1,425.7,549.2,55,stable,0.4,-16.4,20.6,Valley,MT,0.004841
Mississippi,28057,484.0,448.0,522.3,139,stable,1.8,-11.5,16.9,Itawamba,MS,0.00484
Pennsylvania,42015,484.0,462.5,506.3,418,stable,-0.8,-5.2,3.9,Bradford,PA,0.00484
Kentucky,21001,484.0,443.8,527.0,114,stable,-0.4,-1.3,0.5,Adair,KY,0.00484
Louisiana,22091,483.9,430.6,542.3,66,stable,0.7,-0.9,2.3,St Helena,LA,0.0048389999999999996
Ohio,39083,483.9,461.2,507.4,364,stable,-0.2,-4.8,4.7,Knox,OH,0.0048389999999999996
North Carolina,37121,483.8,442.9,528.0,116,stable,-4.5,-14.5,6.6,Mitchell,NC,0.004838
Iowa,19165,483.8,436.6,535.2,87,rising,0.9,0.3,1.5,Shelby,IA,0.004838
Kentucky,21083,483.6,455.4,513.2,231,stable,-2.0,-4.0,0.0,Graves,KY,0.004836
Arkansas,05067,483.6,443.1,527.0,110,stable,-0.4,-7.6,7.4,Jackson,AR,0.004836
Texas,48213,483.5,464.8,502.9,553,stable,0.1,-2.6,2.9,Henderson,TX,0.004835
Louisiana,22123,483.5,433.6,538.0,72,stable,-0.5,-2.6,1.6,West Carroll,LA,0.004835
Florida,12005,483.5,470.3,497.0,1061,stable,-0.9,-6.7,5.3,Bay,FL,0.004835
Georgia,13151,483.5,469.5,497.8,991,falling,-0.7,-1.2,-0.2,Henry,GA,0.004835
North Carolina,37117,483.4,450.2,518.8,172,stable,-1.6,-8.5,5.9,Martin,NC,0.004834
North Carolina,37035,483.4,469.3,497.8,938,stable,0.0,-3.0,3.1,Catawba,NC,0.004834
Georgia,13321,483.3,446.0,523.2,132,stable,0.5,-0.8,1.7,Worth,GA,0.0048330000000000005
Maryland,24005,483.3,477.1,489.6,4877,stable,-1.2,-5.1,2.8,Baltimore,MD,0.0048330000000000005
Virginia,51111,483.3,437.6,533.0,89,stable,0.3,-10.9,13.0,Lunenburg,VA,0.0048330000000000005
Pennsylvania,42057,483.2,440.2,529.7,99,stable,-4.8,-15.6,7.4,Fulton,PA,0.0048319999999999995
Iowa,19111,483.2,454.7,513.1,232,stable,0.1,-0.2,0.5,Lee,IA,0.0048319999999999995
Pennsylvania,42091,483.1,477.0,489.3,4964,stable,-0.9,-4.2,2.5,Montgomery,PA,0.004831
Kentucky,21107,483.1,457.8,509.5,288,stable,-0.7,-1.5,0.1,Hopkins,KY,0.004831
Tennessee,47009,483.0,467.8,498.7,812,stable,-0.4,-4.8,4.3,Blount,TN,0.00483
Illinois,17187,483.0,441.1,527.9,107,stable,3.0,-12.5,21.1,Warren,IL,0.00483
Washington,53061,483.0,476.0,490.1,3858,falling,-0.7,-0.9,-0.4,Snohomish,WA,0.00483
Michigan,26125,483.0,477.9,488.1,7224,falling,-0.9,-1.2,-0.6,Oakland,MI,0.00483
Pennsylvania,42051,482.8,468.3,497.6,917,stable,0.1,-6.0,6.6,Fayette,PA,0.004828
Kentucky,21233,482.8,435.7,533.9,81,stable,-0.2,-1.6,1.3,Webster,KY,0.004828
Maine,23009,482.8,460.8,505.6,409,stable,0.8,-3.4,5.1,Hancock,ME,0.004828
Georgia,13297,482.8,463.2,503.0,477,stable,-1.2,-6.7,4.7,Walton,GA,0.004828
Texas,48239,482.7,436.8,532.3,87,stable,0.3,-12.9,15.4,Jackson,TX,0.004827
Louisiana,22019,482.7,469.5,496.2,1060,falling,-0.7,-1.1,-0.3,Calcasieu,LA,0.004827
Maryland,24011,482.6,451.7,515.2,190,falling,-4.9,-8.7,-0.9,Caroline,MD,0.004826
Iowa,19065,482.6,445.9,521.8,142,stable,-0.1,-0.5,0.2,Fayette,IA,0.004826
West Virginia,54079,482.6,459.4,506.6,344,stable,-2.4,-9.5,5.2,Putnam,WV,0.004826
Ohio,39065,482.5,449.9,516.9,171,rising,9.6,0.8,19.1,Hardin,OH,0.004825
Pennsylvania,42029,482.3,474.3,490.5,2897,stable,-0.2,-2.5,2.1,Chester,PA,0.004823
Kentucky,21227,482.3,464.6,500.4,585,falling,-0.7,-1.3,-0.1,Warren,KY,0.004823
Georgia,13095,482.2,462.9,502.1,494,stable,-0.6,-1.2,0.0,Dougherty,GA,0.004822
Missouri,29099,482.2,469.6,495.1,1189,stable,-1.7,-4.6,1.3,Jefferson,MO,0.004822
Indiana,18091,482.1,465.4,499.3,665,falling,-3.5,-4.3,-2.7,La Porte,IN,0.004821000000000001
Iowa,19163,482.1,468.1,496.4,945,falling,-1.7,-3.0,-0.4,Scott,IA,0.004821000000000001
Maine,23027,482.0,455.3,510.1,270,stable,-1.0,-5.9,4.1,Waldo,ME,0.00482
Oklahoma,40063,482.0,437.0,530.7,88,stable,-1.6,-15.7,14.9,Hughes,OK,0.00482
Georgia,13261,481.9,449.4,516.3,172,stable,0.1,-0.7,1.0,Sumter,GA,0.0048189999999999995
Iowa,19045,481.8,457.3,507.4,310,stable,-0.2,-0.5,0.1,Clinton,IA,0.004818
Iowa,19193,481.8,463.4,500.7,542,stable,-0.2,-0.5,0.1,Woodbury,IA,0.004818
Texas,48241,481.8,452.8,512.2,223,stable,1.6,-11.3,16.3,Jasper,TX,0.004818
Georgia,13053,481.7,390.7,585.7,21,stable,1.0,-2.3,4.5,Chattahoochee,GA,0.004817
Indiana,18045,481.6,440.7,525.5,109,stable,4.5,-2.0,11.4,Fountain,IN,0.004816
Rhode Island,44005,481.6,463.2,500.5,565,stable,-2.6,-7.1,2.2,Newport,RI,0.004816
Mississippi,28123,481.5,447.1,517.9,151,stable,-0.8,-10.2,9.4,Scott,MS,0.004815
New Mexico,35021,481.5,274.7,797.1,6,stable,-25.6,-61.8,44.9,Harding,NM,0.004815
Vermont,50013,481.4,414.2,557.1,45,stable,-4.5,-11.3,2.8,Grand Isle,VT,0.004814
Alabama,01011,481.3,427.3,540.6,60,stable,4.3,-7.7,17.9,Bullock,AL,0.0048130000000000004
Alaska,02180,481.3,403.8,568.5,34,stable,-4.5,-25.1,21.6,Nome,AK,0.0048130000000000004
Massachusetts,25019,481.3,426.7,541.3,59,falling,-2.0,-3.8,-0.1,Nantucket,MA,0.0048130000000000004
Arkansas,05023,481.3,450.4,514.1,205,stable,4.7,-5.1,15.5,Cleburne,AR,0.0048130000000000004
Indiana,18165,481.3,439.2,526.7,103,stable,-0.3,-8.6,8.9,Vermillion,IN,0.0048130000000000004
Wisconsin,55057,481.2,449.2,515.1,179,stable,1.0,-6.0,8.4,Juneau,WI,0.004812
New York,36087,481.2,471.0,491.5,1768,falling,-1.8,-2.6,-1.1,Rockland,NY,0.004812
Maine,23003,481.2,461.7,501.4,511,stable,0.2,-2.3,2.8,Aroostook,ME,0.004812
Tennessee,47101,481.1,432.4,534.2,78,stable,-2.1,-13.4,10.7,Lewis,TN,0.004811
North Carolina,37039,481.0,450.9,512.9,229,stable,-1.8,-8.1,4.9,Cherokee,NC,0.00481
Nebraska,31133,481.0,386.4,595.1,22,stable,-12.0,-36.2,21.3,Pawnee,NE,0.00481
North Carolina,37043,481.0,433.3,533.5,91,stable,0.3,-8.9,10.3,Clay,NC,0.00481
Georgia,13219,481.0,449.5,514.1,186,stable,0.2,-0.8,1.2,Oconee,GA,0.00481
North Carolina,37081,481.0,472.8,489.2,2744,stable,1.4,-1.4,4.2,Guilford,NC,0.00481
Louisiana,22051,481.0,472.4,489.6,2538,stable,-0.1,-0.4,0.3,Jefferson,LA,0.00481
North Dakota,38017,480.9,465.0,497.2,736,stable,0.2,-4.0,4.7,Cass,ND,0.004809
Mississippi,28077,480.9,432.9,533.2,78,stable,2.2,-5.2,10.1,Lawrence,MS,0.004809
Illinois,17139,480.9,435.8,529.6,90,stable,0.5,-11.1,13.6,Moultrie,IL,0.004809
