Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude
"Advanced Micro Devices, Inc. (Building 915)",31.94,California,Santa Clara,NPL Site,37.3868,-122.0066
"Synertek, Inc. (Building 1)",31.94,California,Santa Clara,NPL Site,37.3773,-121.9719
Modesto Ground Water Contamination,28.9,California,Stanislaus,NPL Site,37.6591,-120.9964
Jasco Chemical Corp.,35.36,California,Santa Clara,NPL Site,37.3988,-122.0882
Pacific Coast Pipe Lines,46.01,California,Ventura,NPL Site,34.404169,-118.9028
Hunters Point Naval Shipyard,48.77,California,San Francisco,NPL Site,37.72229,-122.36731999999999
Lawrence Livermore National Laboratory (Site 300) (USDOE),31.58,California,Alameda,NPL Site,37.644306,-121.57666699999999
Tracy Defense Depot (USARMY),37.16,California,San Joaquin,NPL Site,37.715281,-121.3911
Travis Air Force Base,29.49,California,Solano,NPL Site,38.26445,-121.9332
Edwards Air Force Base,33.62,California,Kern,NPL Site,34.949439,-117.8857
Industrial Waste Processing,51.13,California,Fresno,NPL Site,36.8425,-119.8094
McCormick & Baxter Creosoting Co.,74.86,California,San Joaquin,NPL Site,37.947851,-121.30663500000001
Jet Propulsion Laboratory (NASA),50.0,California,Los Angeles,NPL Site,34.201184999999995,-118.16743400000001
Concord Naval Weapons Station,50.0,California,Contra Costa,NPL Site,38.049444,-122.0
Laboratory for Energy-Related Health Research/Old Campus Landfill (USDOE),50.0,California,Solano,NPL Site,38.51875,-121.75125
Frontier Fertilizer,35.04,California,Yolo,NPL Site,38.553055,-121.67333300000001
Pemaco Maywood,45.23,California,Los Angeles,NPL Site,33.985417,-118.17125
Lava Cap Mine,33.66,California,Nevada,NPL Site,39.228056,-120.96986100000001
Omega Chemical Corporation,30.94,California,Los Angeles,NPL Site,33.969722,-118.042222
Alameda Naval Air Station,50.0,California,Alameda,NPL Site,37.788889000000005,-122.33
Leviathan Mine,50.0,California,Alpine,NPL Site,38.703889000000004,-119.65611100000001
Alark Hard Chrome,50.5,California,Riverside,NPL Site,33.991886,-117.367186
Del Amo,47.12,California,Los Angeles,NPL Site,33.846639,-118.289472
Cooper Drum Company,50.0,California,Los Angeles,NPL Site,33.946971999999995,-118.179694
Casmalia Resources,30.0,California,Santa Barbara,NPL Site,34.863125,-120.544303
AMCO Chemical,50.0,California,Alameda,NPL Site,37.8025,-122.29375
Fairchild Semiconductor Corp. (South San Jose Plant),44.46,California,Santa Clara,NPL Site,37.2326,-121.7748
Lorentz Barrel & Drum Co.,33.94,California,Santa Clara,NPL Site,37.318611,-121.8644
J.H. Baxter & Co.,34.78,California,Siskiyou,NPL Site,41.4364,-122.3707
Klau/Buena Vista Mine,50.0,California,San Luis Obispo,NPL Site,35.6259,-120.8967
Halaco Engineering Company,58.31,California,Ventura,NPL Site,34.138889,-119.181944
"Rockets, Fireworks, and Flares (RFF)",50.0,California,San Bernardino,NPL Site,34.153683,-117.41656699999999
New Idria Mercury Mine,31.66,California,San Benito,NPL Site,36.418392,-120.67251100000001
Blue Ledge Mine,50.28,California,Siskiyou,NPL Site,41.959961,-123.10744199999999
Jervis B. Webb Co.,45.76,California,Los Angeles,NPL Site,33.950325,-118.178017
Southern Avenue Industrial Area,50.0,California,Los Angeles,NPL Site,33.946178,-118.17692199999999
Argonaut Mine,58.31,California,Amador,NPL Site,38.353333,-120.78575
Copper Bluff Mine,50.0,California,Humboldt,NPL Site,41.109972,-123.686
California Gulch,55.84,Colorado,Lake,NPL Site,39.236111,-106.2692
"Central City, Clear Creek",51.39,Colorado,Clear Creek,NPL Site,39.75,-105.5
Denver Radium Site,44.11,Colorado,Denver,NPL Site,39.716669,-105.0
Marshall Landfill,0.0,Colorado,Boulder,NPL Site,39.95,-105.2
Broderick Wood Products,35.13,Colorado,Adams,NPL Site,39.8148,-104.9989
Lincoln Park,31.31,Colorado,Fremont,NPL Site,38.4,-105.2333
Lowry Landfill,48.36,Colorado,Arapahoe,NPL Site,39.643330999999996,-104.7083
Eagle Mine,47.19,Colorado,Eagle,NPL Site,39.533331,-106.3917
Uravan Uranium Project (Union Carbide Corp.),43.53,Colorado,Montrose,NPL Site,38.366661,-108.7483
Rocky Flats Plant (USDOE),64.32,Colorado,Jefferson,NPL Site,39.894169,-105.2017
Rocky Mountain Arsenal (USARMY),58.15,Colorado,Adams,NPL Site,39.835561,-104.8842
Chemical Sales Co.,37.93,Colorado,Denver,NPL Site,39.780831,-104.9136
Air Force Plant PJKS,42.93,Colorado,Jefferson,NPL Site,39.514219,-105.1337
Summitville Mine,50.0,Colorado,Grand,NPL Site,37.43,-106.585
Vasquez Boulevard and I-70,50.0,Colorado,Denver,NPL Site,39.791667,-104.95833300000001
Captain Jack Mill,50.56,Colorado,Boulder,NPL Site,40.055833,-105.503611
Standard Mine,50.0,Colorado,Gunnison,NPL Site,38.879166999999995,-107.07388999999999
Nelson Tunnel/Commodore Waste Rock,48.03,Colorado,Mineral,NPL Site,37.870833000000005,-106.94
Colorado Smelter,50.0,Colorado,Pueblo,NPL Site,38.2491,-104.60799999999999
Bonita Peak Mining District,50.0,Colorado,San Juan,NPL Site,37.904030999999996,-107.616619
Beacon Heights Landfill,46.77,Connecticut,New Haven,NPL Site,41.43195,-73.03528100000001
"Laurel Park, Inc.",0.0,Connecticut,New Haven,NPL Site,41.476939,-73.07166099999999
Solvents Recovery Service of New England,44.93,Connecticut,Hartford,NPL Site,41.6196,-72.878
Yaworski Waste Lagoon,36.72,Connecticut,Windham,NPL Site,41.66945,-71.964161
Kellogg-Deering Well Field,39.92,Connecticut,Fairfield,NPL Site,41.13055,-73.43195
Durham Meadows,33.94,Connecticut,Middlesex,NPL Site,41.48111,-72.681388
Linemaster Switch Corp.,33.71,Connecticut,Windham,NPL Site,41.940560999999995,-71.966939
Barkhamsted-New Hartford Landfill,38.05,Connecticut,Litchfield,NPL Site,41.980556,-73.04722199999999
Gallup's Quarry,46.29,Connecticut,Windham,NPL Site,41.665281,-71.924161
Precision Plating Corp.,49.1,Connecticut,Tolland,NPL Site,41.84975,-72.447911
New London Submarine Base,36.53,Connecticut,New London,NPL Site,41.400139,-72.08708100000001
"Raymark Industries, Inc.",0.0,Connecticut,Fairfield,NPL Site,41.201278,-73.117222
Scovill Industrial Landfill,50.0,Connecticut,New Haven,NPL Site,41.550389,-73.010639
Army Creek Landfill,69.92,Delaware,New Castle,NPL Site,39.653061,-75.608331
Delaware Sand & Gravel Landfill,46.6,Delaware,New Castle,NPL Site,39.651389,-75.60278100000001
Delaware City PVC Plant,30.55,Delaware,New Castle,NPL Site,39.586110999999995,-75.649439
"Harvey & Knott Drum, Inc.",30.77,Delaware,New Castle,NPL Site,39.573331,-75.770839
Tybouts Corner Landfill,0.0,Delaware,New Castle,NPL Site,39.6125,-75.653339
NCR Corp. (Millsboro Plant),38.21,Delaware,Sussex,NPL Site,38.5775,-75.283061
Halby Chemical Co.,30.9,Delaware,New Castle,NPL Site,39.718610999999996,-75.537219
"Standard Chlorine of Delaware, Inc.",35.42,Delaware,New Castle,NPL Site,39.599581,-75.63583100000001
Dover Gas Light Co.,35.57,Delaware,Kent,NPL Site,39.1558,-75.5277
"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",51.91,Delaware,New Castle,NPL Site,39.708331,-75.609169
"Koppers Co., Inc. (Newport Plant)",33.56,Delaware,New Castle,NPL Site,39.704719,-75.624169
Dover Air Force Base,35.89,Delaware,Kent,NPL Site,39.127781,-75.466669
"Chem-Solv, Inc.",37.93,Delaware,Kent,NPL Site,39.2216,-75.5764
Newark South Ground Water Plume,50.0,Delaware,New Castle,NPL Site,39.653889,-75.735
Hockessin Groundwater,50.0,Delaware,New Castle,NPL Site,39.78752,-75.696513
American Creosote Works (Pensacola Plant),58.41,Florida,Escambia,NPL Site,30.404719,-87.236661
Florida Steel Corp.,45.92,Florida,Martin,NPL Site,27.041110999999997,-80.506111
Hollingsworth Solderless Terminal,44.53,Florida,Broward,NPL Site,26.198331,-80.15221899999999
Miami Drum Services,53.56,Florida,Miami-Dade,NPL Site,25.837219,-80.313061
Pickettville Road Landfill,42.94,Florida,Duval,NPL Site,30.368610999999998,-81.738889
Reeves Southeastern Galvanizing Corp.,58.75,Florida,Hillsborough,NPL Site,27.9725,-82.341939
Sapp Battery Salvage,47.7,Florida,Jackson,NPL Site,30.728331,-85.3925
Sherwood Medical Industries,39.83,Florida,Volusia,NPL Site,29.060831,-81.265
Taylor Road Landfill,51.37,Florida,Hillsborough,NPL Site,28.009719,-82.29305
Tower Chemical Co.,44.03,Florida,Lake,NPL Site,28.551389,-81.684719
Zellwood Ground Water Contamination,51.91,Florida,Orange,NPL Site,28.73195,-81.613331
Cabot/Koppers,36.69,Florida,Alachua,NPL Site,29.675,-82.323061
Peak Oil Co./Bay Drum Co.,58.15,Florida,Hillsborough,NPL Site,27.9708,-82.3404
"Pepper Steel & Alloys, Inc.",31.92,Florida,Miami-Dade,NPL Site,25.873611,-80.35333100000001
Sydney Mine Sludge Ponds,38.93,Florida,Hillsborough,NPL Site,27.929166,-82.209166
Wingate Road Municipal Incinerator Dump,31.72,Florida,Broward,NPL Site,26.1444,-80.1847
Piper Aircraft Corp./Vero Beach Water & Sewer Department,31.13,Florida,Indian River,NPL Site,27.647499,-80.415555
Harris Corp. (Palm Bay Plant),35.57,Florida,Brevard,NPL Site,28.030281,-80.601389
Petroleum Products Corp.,40.11,Florida,Broward,NPL Site,25.9926,-80.1696
"Anodyne, Inc.",31.03,Florida,Miami-Dade,NPL Site,25.923189,-80.221531
Airco Plating Co.,42.47,Florida,Miami-Dade,NPL Site,25.8152,-80.2559
Madison County Sanitary Landfill,37.93,Florida,Madison,NPL Site,30.501110999999998,-83.39375
Agrico Chemical Co.,44.98,Florida,Escambia,NPL Site,30.4512,-87.2256
Jacksonville Naval Air Station,32.08,Florida,Duval,NPL Site,30.221109999999996,-81.682777
Cecil Field Naval Air Station,31.99,Florida,Duval,NPL Site,30.238609999999998,-81.902777
Pensacola Naval Air Station,42.4,Florida,Escambia,NPL Site,30.357221999999997,-87.283054
Homestead Air Force Base,42.4,Florida,Miami-Dade,NPL Site,25.489444,-80.39694399999999
Stauffer Chemical Co. (Tarpon Springs),50.0,Florida,Pinellas,NPL Site,28.166665999999996,-82.775694
Helena Chemical Co. (Tampa Plant),30.19,Florida,Hillsborough,NPL Site,27.963931,-82.374813
Whiting Field Naval Air Station,50.0,Florida,Santa Rosa,NPL Site,30.709721999999996,-87.02041700000001
Chevron Chemical Co. (Ortho Division),50.0,Florida,Orange,NPL Site,28.578889,-81.408889
Escambia Wood - Pensacola,50.0,Florida,Escambia,NPL Site,30.4553,-87.2317
MRI Corp (Tampa),37.62,Florida,Hillsborough,NPL Site,27.96,-82.35583299999999
Stauffer Chemical Co (Tampa),59.81,Florida,Hillsborough,NPL Site,27.963055999999998,-82.37055600000001
Tyndall Air Force Base,50.0,Florida,Bay,NPL Site,30.0875,-85.586667
Florida Petroleum Reprocessors,50.0,Florida,Broward,NPL Site,26.081944,-80.215556
Oak Grove Village Well,50.0,Missouri,Franklin,NPL Site,38.220971999999996,-91.149461
Pagel's Pit,45.91,Illinois,Winnebago,NPL Site,42.158331,-89.056661
Newton County Mine Tailings,50.0,Missouri,Newton,NPL Site,36.9921,-94.3848
Madison County Mines,58.41,Missouri,Madison,NPL Site,37.546110999999996,-90.276111
Conservation Chemical Co.,29.85,Missouri,Jackson,NPL Site,39.1279,-94.4722
Annapolis Lead Mine,56.67,Missouri,Iron,NPL Site,37.355556,-90.675
Washington County Lead District - Old Mines,76.81,Missouri,Washington,NPL Site,38.075278000000004,-90.738333
Washington County Lead District - Potosi,50.0,Missouri,Washington,NPL Site,37.9399,-90.7724
Washington County Lead District - Richwoods,76.81,Missouri,Washington,NPL Site,38.16615,-90.814264
Southwest Jefferson County Mining,70.71,Missouri,Jefferson,NPL Site,38.186794,-90.758975
Vienna Wells,50.0,Missouri,Maries,NPL Site,38.189597,-91.944158
Washington County Lead District - Furnace Creek,50.0,Missouri,Washington,NPL Site,37.840531,-90.79955600000001
Compass Plaza Well TCE,50.0,Missouri,Greene,NPL Site,37.109009,-93.083168
Sporlan Valve Plant #1,35.15,Missouri,Franklin,NPL Site,38.5519,-91.00668
"Chemfax, Inc.",38.4,Mississippi,Harrison,NPL Site,30.428888,-89.089166
"American Creosote Works, Inc.",62.2,Mississippi,Winston,NPL Site,33.111111,-89.05833299999999
Picayune Wood Treating,51.03,Mississippi,Pearl River,NPL Site,30.524444,-89.689722
Sonford Products,31.66,Mississippi,Rankin,NPL Site,32.29251,-90.14222
Kerr-McGee Chemical Corp - Columbus,52.47,Mississippi,Lowndes,NPL Site,33.509767,-88.409686
Red Panther Chemical Company,39.43,Mississippi,Coahoma,NPL Site,34.187408000000005,-90.561625
Southeastern Wood Preserving,48.03,Mississippi,Madison,NPL Site,32.618061,-90.018189
Mississippi Phosphates Corporation,50.0,Mississippi,Jackson,NPL Site,30.372103000000003,-88.491006
Rockwell International Wheel & Trim,50.0,Mississippi,Grenada,NPL Site,33.803244,-89.801661
Anaconda Co. Smelter,58.71,Montana,Deer Lodge,NPL Site,46.116661,-112.915
Libby Ground Water Contamination,37.67,Montana,Lincoln,NPL Site,48.38,-115.5389
Milltown Reservoir Sediments,43.78,Montana,Missoula,NPL Site,46.866661,-113.8667
Silver Bow Creek/Butte Area,63.76,Montana,Deer Lodge,NPL Site,46.038999999999994,-112.7948
East Helena Site,61.65,Montana,Lewis and Clark,NPL Site,46.581669,-111.9183
Idaho Pole Co.,38.29,Montana,Gallatin,NPL Site,45.688331,-111.0217
Mouat Industries,31.66,Montana,Stillwater,NPL Site,45.635,-109.2475
Montana Pole and Treating,33.03,Montana,Silver Bow,NPL Site,45.99,-112.5483
Basin Mining Area,61.15,Montana,Jefferson,NPL Site,46.272778,-112.263333
Upper Tenmile Creek Mining Area,50.0,Montana,Lewis and Clark,NPL Site,46.482083,-112.245139
Lockwood Solvent Ground Water Plume,45.69,Montana,Yellowstone,NPL Site,45.803611,-108.455
Barker Hughesville Mining District,50.0,Montana,Cascade,NPL Site,47.083333,-110.630278
Carpenter Snow Creek Mining District,50.0,Montana,Cascade,NPL Site,46.961389000000004,-110.72583300000001
Libby Asbestos,0.0,Montana,Lincoln,NPL Site,48.391528,-115.551111
Flat Creek IMM,51.33,Montana,Mineral,NPL Site,47.240278,-114.852778
ACM Smelter and Refinery,54.26,Montana,Cascade,NPL Site,47.528603000000004,-111.246467
Anaconda Aluminum Co Columbia Falls Reduction Plant,68.39,Montana,Flathead,NPL Site,48.387875,-114.130297
Bypass 601 Ground Water Contamination,37.93,North Carolina,Cabarrus,NPL Site,35.4096,-80.6093
Jadco-Hughes Facility,42.0,North Carolina,Gaston,NPL Site,35.275831,-81.041111
"North Carolina State University (Lot 86, Farm Unit #1)",48.36,North Carolina,Wake,NPL Site,35.801815999999995,-78.713588
Celanese Corp. (Shelby Fiber Operations),48.98,North Carolina,Cleveland,NPL Site,35.208889,-81.528339
Cape Fear Wood Preserving,34.09,North Carolina,Cumberland,NPL Site,35.04945,-79.020839
Aberdeen Pesticide Dumps,52.7,North Carolina,Moore,NPL Site,35.1384,-79.4472
Charles Macon Lagoon & Drum Storage,47.1,North Carolina,Richmond,NPL Site,34.8925,-79.8375
Carolina Transformer Co.,33.76,North Carolina,Cumberland,NPL Site,35.063331,-78.845
"Benfield Industries, Inc.",31.67,North Carolina,Haywood,NPL Site,35.477781,-83.00416899999999
Potter's Septic Tank Service Pits,29.14,North Carolina,Brunswick,NPL Site,34.2846,-78.1578
Camp Lejeune Military Reservation,33.13,North Carolina,Onslow,NPL Site,34.717781,-77.342919
"Koppers Co., Inc. (Morrisville Plant)",41.89,North Carolina,Wake,NPL Site,35.8463,-78.8406
ABC One Hour Cleaners,29.11,North Carolina,Onslow,NPL Site,34.7414,-77.3666
Geigy Chemical Corp. (Aberdeen Plant),33.02,North Carolina,Moore,NPL Site,35.126111,-79.406669
"FCX, Inc. (Statesville Plant)",37.93,North Carolina,Iredell,NPL Site,35.7865,-80.9163
"FCX, Inc. (Washington Plant)",40.39,North Carolina,Beaufort,NPL Site,35.559581,-77.07445
JFD Electronics/Channel Master,39.03,North Carolina,Granville,NPL Site,36.299719,-78.60638900000001
"Chemtronics, Inc.",30.16,North Carolina,Buncombe,NPL Site,35.625,-82.434719
General Electric Co/Shepherd Farm,70.71,North Carolina,Henderson,NPL Site,35.272222,-82.411111
Cherry Point Marine Corps Air Station,70.71,North Carolina,Craven,NPL Site,34.9,-76.8917
Davis Park Road TCE,33.5,North Carolina,Gaston,NPL Site,35.231667,-81.218889
North Belmont PCE,50.0,North Carolina,Gaston,NPL Site,35.273472,-81.05125
Barber Orchard,70.71,North Carolina,Haywood,NPL Site,35.445833,-83.063889
Ward Transformer,50.0,North Carolina,Wake,NPL Site,35.901944,-78.773611
Ram Leather Care,40.43,North Carolina,Mecklenburg,NPL Site,35.228056,-80.606806
National Starch & Chemical Corp.,46.51,North Carolina,Rowan,NPL Site,35.6322,-80.5412
Sigmon's Septic Tank Service,30.03,North Carolina,Iredell,NPL Site,35.713611,-80.974583
Blue Ridge Plating Company,38.67,North Carolina,Buncombe,NPL Site,35.462371999999995,-82.528358
Aberdeen Contaminated Ground Water,50.0,North Carolina,Moore,NPL Site,35.1224,-79.4025
GMH Electronics,50.0,North Carolina,Person,NPL Site,36.416722,-78.941625
Ore Knob Mine,50.0,North Carolina,Ashe,NPL Site,36.410011,-81.324606
Kerr-McGee Chemical Corp - Navassa,50.0,North Carolina,Brunswick,NPL Site,34.247222,-77.99902800000001
Wright Chemical Corporation,48.03,North Carolina,Columbus,NPL Site,34.3284,-78.2051
Horton Iron and Metal,48.03,North Carolina,New Hanover,NPL Site,34.26665,-77.954083
"CTS of Asheville, Inc.",38.4,North Carolina,Buncombe,NPL Site,35.493075,-82.505953
Holcomb Creosote Co,48.0,North Carolina,Yadkin,NPL Site,36.157875,-80.675236
Cristex Drum,48.0,North Carolina,Granville,NPL Site,36.2972,-78.6067
Hemphill Road TCE,50.0,North Carolina,Gaston,NPL Site,35.197933,-81.189852
Cornhusker Army Ammunition Plant,51.13,Nebraska,Hall,NPL Site,40.923331,-98.4925
Hastings Ground Water Contamination,42.24,Nebraska,Adams,NPL Site,40.583331,-98.38333100000001
Nebraska Ordnance Plant (Former),31.94,Nebraska,Saunders,NPL Site,41.176669,-96.453331
10th Street Site,28.9,Nebraska,Platte,NPL Site,41.426561,-97.362219
Cleburn Street Well,50.0,Nebraska,Hall,NPL Site,40.925139,-98.347778
Sherwood Medical Co.,50.0,Nebraska,Madison,NPL Site,41.993611,-97.421389
Bruno Co-op Association/Associated Properties,50.0,Nebraska,Butler,NPL Site,41.284721999999995,-96.959722
Ogallala Ground Water Contamination,50.0,Nebraska,Keith,NPL Site,41.123889,-101.736111
Omaha Lead,50.0,Nebraska,Douglas,NPL Site,41.267778,-95.929722
"American Anodco, Inc.",57.99,Michigan,Ionia,NPL Site,42.9875,-85.03
J & L Landfill,31.65,Michigan,Oakland,NPL Site,42.6556,-83.0959
Joliet Army Ammunition Plant (Manufacturing Area),32.08,Illinois,Will,NPL Site,41.3762,-88.1563
"Barrels, Inc.",42.24,Michigan,Ingham,NPL Site,42.749031,-84.54333100000001
"Parsons Chemical Works, Inc.",31.32,Michigan,Eaton,NPL Site,42.7547,-84.7677
"Bofors Nobel, Inc.",53.42,Michigan,Muskegon,NPL Site,43.209364,-86.11746
Kaydon Corp.,34.21,Michigan,Muskegon,NPL Site,43.2007,-86.2908
Solitron Microwave,50.0,Florida,Martin,NPL Site,27.136667,-80.199167
Adam's Plating,29.64,Michigan,Ingham,NPL Site,42.739439000000004,-84.587781
"Allied Paper, Inc./Portage Creek/Kalamazoo River",36.41,Michigan,Allegan,NPL Site,42.303333,-85.576083
Hi-Mill Manufacturing Co.,49.54,Michigan,Oakland,NPL Site,42.649831,-83.593089
Bendix Corp./Allied Automotive,37.27,Michigan,Berrien,NPL Site,42.04945,-86.51195
"State Disposal Landfill, Inc.",42.24,Michigan,Kent,NPL Site,43.013397,-85.590506
Muskegon Chemical Co.,34.19,Michigan,Muskegon,NPL Site,43.3891,-86.334
Peerless Plating Co.,43.94,Michigan,Muskegon,NPL Site,43.2056,-86.2237
Albion-Sheridan Township Landfill,33.79,Michigan,Calhoun,NPL Site,42.24955,-84.7195
Aircraft Components (D & L Sales),0.0,Michigan,Berrien,NPL Site,42.126944,-86.454444
Kysor Industrial Corp.,33.94,Michigan,Wexford,NPL Site,44.2568,-85.4226
Gratiot County Golf Course,29.54,Michigan,Gratiot,NPL Site,43.415842,-84.62324699999999
Ten-Mile Drain,48.88,Michigan,Macomb,NPL Site,42.486944,-82.899167
DSC McLouth Steel Gibraltar Plant,50.0,Michigan,Wayne,NPL Site,42.103075,-83.200292
McLouth Steel Corp,50.0,Michigan,Wayne,NPL Site,42.160596999999996,-83.170906
Burlington Northern (Brainerd/Baxter Plant),46.77,Minnesota,Crow Wing,NPL Site,46.3532,-94.2282
FMC Corp. (Fridley Plant),65.5,Minnesota,Anoka,NPL Site,45.0565,-93.2762
Koppers Coke,55.05,Minnesota,Ramsey,NPL Site,44.972219,-93.152781
Lehillier/Mankato Site,42.49,Minnesota,Blue Earth,NPL Site,44.153331,-94.038331
New Brighton/Arden Hills/TCAAP (USARMY),59.16,Minnesota,Ramsey,NPL Site,45.079169,-93.1975
Oakdale Dump,55.71,Minnesota,Washington,NPL Site,45.0,-92.966669
Reilly Tar & Chemical Corp. (St. Louis Park Plant),0.0,Minnesota,Hennepin,NPL Site,44.941669,-93.372219
South Andover Site,35.41,Minnesota,Anoka,NPL Site,45.2179,-93.318
Arrowhead Refinery Co.,43.75,Minnesota,St Louis,NPL Site,46.8377,-92.2398
General Mills/Henkel Corp.,36.28,Minnesota,Hennepin,NPL Site,44.99,-93.22278100000001
Joslyn Manufacturing & Supply Co.,44.3,Minnesota,Hennepin,NPL Site,45.045,-93.333339
MacGillis & Gibbs/Bell Lumber & Pole Co.,48.33,Minnesota,Ramsey,NPL Site,45.055,-93.194731
Perham Arsenic Site,37.98,Minnesota,Otter Tail,NPL Site,46.587781,-95.57166099999999
St. Regis Paper Co.,52.88,Minnesota,Cass,NPL Site,47.375561,-94.60555
St. Louis River Site,32.08,Minnesota,St Louis,NPL Site,46.677781,-92.21221899999999
Kurt Manufacturing Co.,31.41,Minnesota,Anoka,NPL Site,45.064411,-93.268361
Long Prairie Ground Water Contamination,31.94,Minnesota,Todd,NPL Site,45.978531,-94.856639
Naval Industrial Reserve Ordnance Plant,30.83,Minnesota,Anoka,NPL Site,45.058831,-93.273669
Freeway Sanitary Landfill,45.91,Minnesota,Dakota,NPL Site,44.795,-93.29333100000001
Waite Park Wells,31.94,Minnesota,Stearns,NPL Site,45.561669,-94.215
Ritari Post & Pole,29.81,Minnesota,Wadena,NPL Site,46.6608,-95.0298
Baytown Township Ground Water Plume,35.62,Minnesota,Washington,NPL Site,45.0,-92.833333
Fridley Commons Park Well Field,50.0,Minnesota,Anoka,NPL Site,45.080556,-93.255556
South Minneapolis Residential Soil Contamination,44.58,Minnesota,Hennepin,NPL Site,44.9528,-93.2427
Spring Park Municipal Well Field,50.0,Minnesota,Hennepin,NPL Site,44.935944,-93.633306
Minker/Stout/Romaine Creek,36.78,Missouri,Jefferson,NPL Site,38.44,-90.48
Ellisville Site,0.0,Missouri,St Louis,NPL Site,38.603331,-90.61833100000001
Fulbright Landfill,40.6,Missouri,Greene,NPL Site,37.273056,-93.3125
Syntex Facility,43.78,Missouri,Lawrence,NPL Site,36.965,-93.798331
Lee Chemical,46.81,Missouri,Clay,NPL Site,39.201111,-94.3925
"Solid State Circuits, Inc.",37.93,Missouri,Greene,NPL Site,37.118061,-93.480281
Bee Cee Manufacturing Co.,28.59,Missouri,Dunklin,NPL Site,36.603331,-89.98
Quality Plating,40.7,Missouri,Scott,NPL Site,36.96305,-89.55721899999999
Weldon Spring Former Army Ordnance Works,30.26,Missouri,St Charles,NPL Site,38.696389,-90.729161
Lake City Army Ammunition Plant (Northwest Lagoon),33.62,Missouri,Jackson,NPL Site,39.103,-94.2783
Valley Park TCE,35.57,Missouri,St Louis,NPL Site,38.552781,-90.466669
Oronogo-Duenweg Mining Belt,46.2,Missouri,Jasper,NPL Site,37.101110999999996,-94.42056099999999
Missouri Electric Works,31.2,Missouri,Cape Girardeau,NPL Site,37.28625,-89.55505600000001
Weldon Spring Quarry/Plant/Pits (USDOE/Army),58.6,Missouri,St Charles,NPL Site,38.696944,-90.724999
St. Louis Airport/Hazelwood Interim Storage/Futura Coatings Co.,38.31,Missouri,St Louis,NPL Site,38.759719,-90.360419
Westlake Landfill,29.85,Missouri,St Louis,NPL Site,38.77,-90.445269
Big River Mine Tailings/St. Joe Minerals Corp.,84.91,Missouri,St Francois,NPL Site,37.886389,-90.55
Newton County Wells,50.0,Missouri,Newton,NPL Site,37.044722,-94.473056
Pools Prairie,50.0,Missouri,Newton,NPL Site,36.803056,-94.39027800000001
Armour Road,50.0,Missouri,Clay,NPL Site,39.145,-94.556111
Riverfront,50.0,Missouri,Franklin,NPL Site,38.613889,-91.214722
"Trans Circuits, Inc.",50.0,Florida,Palm Beach,NPL Site,26.795278000000003,-80.07388900000001
Kane & Lombard Street Drums,30.15,Maryland,Baltimore,NPL Site,39.2956,-76.5419
