name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Hamakua Energy Plant,20.0939,-155.4711,Oil,Hawaii,Hawaii,15001
Hamilton (PA),39.9087,-76.9885,Oil,Pennsylvania,Adams,42001
Hana Substation,20.7658,-155.9961,Oil,Hawaii,Maui,15009
Hardeeville,32.2988,-81.0739,Oil,South Carolina,Jasper,45053
Harlan,41.6445,-95.3153,Oil,Iowa,Shelby,19165
Harris Lake,43.9719,-74.1861,Oil,New York,Franklin,36033
Hart,43.7041,-86.3663,Oil,Michigan,Oceana,26127
Hastings,44.7,-92.8936,Oil,Minnesota,Dakota,27037
Hawaii Cogen,21.3117,-158.1139,Oil,Hawaii,Honolulu,15003
Hawkeye Energy Greenport LLC,41.106,-72.3762,Oil,New York,Suffolk,36103
Hebron,40.1879,-97.5779,Oil,Nebraska,Thayer,31169
Hendricks Regional Health,39.7615,-86.5016,Oil,Indiana,Hendricks,18063
Herington,38.6658,-96.9492,Oil,Kansas,Dickinson,20041
Hewlett Packard Enterprise,34.0864,-84.2677,Oil,Georgia,Fulton,13121
High Point  Fairfield,35.9244,-79.9901,Oil,North Carolina,Randolph,37151
High Point  POLO,35.97,-79.96,Oil,North Carolina,Guilford,37081
High Point  Pump Station Rd,35.9861,-79.9497,Oil,North Carolina,Guilford,37081
Highland,38.7412,-89.6849,Oil,Illinois,Madison,17119
Hillsboro,47.3969,-97.0606,Oil,North Dakota,Traill,38097
Hilton Head,32.2089,-80.6988,Oil,South Carolina,Beaufort,45013
Holly,38.0327,-102.0737,Oil,Kansas,Hamilton,20075
Holton,39.4735,-95.7315,Oil,Kansas,Jackson,20085
Holtsville,40.817,-73.0663,Oil,New York,Suffolk,36103
Honea Path,34.4413,-82.3652,Oil,South Carolina,Anderson,45007
Hoonah,58.1064,-135.4307,Oil,Alaska,Juneau,2110
Hooper Bay,61.5309,-166.1019,Oil,Alaska,Wade Hampton,2270
Hopkinton,42.3435,-91.2471,Oil,Iowa,Jones,19105
Hugoton 2,37.1642,-101.3401,Oil,Kansas,Stevens,20189
Hunterstown,39.8662,-77.1648,Oil,Pennsylvania,Adams,42001
Huntersville Delivery No 2,35.3832,-80.8329,Oil,North Carolina,Mecklenburg,37119
Hurricane Creek Lift Station,39.5879,-86.1858,Oil,Indiana,Johnson,18081
IBM West,44.0587,-92.5119,Oil,Minnesota,Olmsted,27109
IMEA Flora,38.6658,-88.4625,Oil,Illinois,Clay,17025
IMEA Highland,38.7417,-89.6847,Oil,Illinois,Madison,17119
