site_name,city,site_id,list_date,site_score,indicator
"Bofors Nobel, Inc.",Muskegon,MID006030373,03/31/1989,53.42,No
Butterworth #2 Landfill,Grand Rapids,MID062222997,09/08/1983,50.31,No
"Cannelton Industries, Inc.",Sault Sainte Marie,MID980678627,08/30/1990,30.16,No
Chem Central,Wyoming Township,MID980477079,09/08/1983,38.20,No
Clare Water Supply,Clare,MID980002273,09/21/1984,38.43,No
DSC McLouth Steel Gibraltar Plant,Gibraltar,MIN000510362,03/26/2015,50.00,No
Electrovoice,Buchanan,MID005068143,09/21/1984,35.36,No
Forest Waste Products,Otisville,MID980410740,09/08/1983,38.64,No
G&H Landfill,Utica,MID980410823,09/08/1983,49.09,No
Grand Traverse Overall Supply Co.,Greilickville,MID017418559,09/08/1983,35.53,No
Gratiot County Golf Course,St. Louis,MIN000510389,03/04/2010,29.54,No
Gratiot County Landfill,St. Louis,MID980506281,09/08/1983,,No
"H. Brown Co., Inc.",Grand Rapids,MID017075136,06/10/1986,39.88,No
Hedblum Industries,Oscoda,MID980794408,09/08/1983,37.29,No
Hi-Mill Manufacturing Co.,Highland,MID005341714,02/21/1990,49.54,No
Ionia City Landfill,Ionia,MID980794416,09/08/1983,31.31,No
J & L Landfill,Rochester Hills,MID980609440,03/31/1989,31.65,No
K&L Avenue Landfill,Oshtemo Township,MID980506463,09/08/1983,38.10,No
Kaydon Corp.,Muskegon,MID006016703,02/21/1990,34.21,No
Kentwood Landfill,Kentwood,MID000260281,09/08/1983,35.39,No
Kysor Industrial Corp.,Cadillac,MID043681840,10/04/1989,33.94,No
"Liquid Disposal, Inc.",Utica,MID067340711,09/08/1983,63.28,No
McGraw Edison Corp.,Albion,MID005339676,09/08/1983,33.42,No
McLouth Steel Corp,Trenton,MID017422304,05/15/2019,50.00,No
Metamora Landfill,Metamora,MID980506562,09/21/1984,35.51,No
Michigan Disposal Service (Cork Street Landfill),Kalamazoo,MID000775957,02/21/1990,37.93,No
"Motor Wheel, Inc.",Lansing,MID980702989,06/10/1986,48.91,No
Muskegon Chemical Co.,Whitehall,MID072569510,02/21/1990,34.19,No
North Bronson Industrial Area,Bronson,MID005480900,06/10/1986,33.93,No
Northernaire Plating,Cadillac,MID020883609,09/08/1983,57.93,No
"Organic Chemicals, Inc.",Grandville,MID990858003,09/08/1983,32.93,No
Ott/Story/Cordova Chemical Co.,Dalton Township,MID060174240,09/08/1983,53.41,No
Packaging Corp. of America,Filer City,MID980794747,09/08/1983,51.91,No
"Parsons Chemical Works, Inc.",Grand Ledge,MID980476907,03/31/1989,31.32,No
Peerless Plating Co.,Muskegon,MID006031348,08/30/1990,43.94,No
Petoskey Municipal Well Field,Petoskey,MID006013049,09/08/1983,42.68,No
Rasmussen's Dump,Brighton,MID095402210,09/08/1983,31.80,No
Rockwell International Corp. (Allegan Plant),Allegan,MID006028062,07/22/1987,52.15,No
Rose Township Dump,Rose Township,MID980499842,09/08/1983,50.92,No
"Roto-Finish Co., Inc.",Kalamazoo,MID005340088,06/10/1986,40.70,No
SCA Independent Landfill,Muskegon Heights,MID000724930,09/08/1983,34.75,No
Shiawassee River,Howell,MID980794473,09/08/1983,31.01,No
South Macomb Disposal Authority (Landfills #9 and #9A),Macomb Township,MID069826170,06/10/1986,33.67,No
Southwest Ottawa County Landfill,Park Township,MID980608780,09/08/1983,39.66,No
Sparta Landfill,Sparta Township,MID000268136,09/08/1983,32.00,No
Spartan Chemical Co.,Wyoming,MID079300125,09/08/1983,41.05,No
Springfield Township Dump,Davisburg,MID980499966,09/08/1983,51.97,No
"State Disposal Landfill, Inc.",Grand Rapids,MID980609341,02/21/1990,42.24,No
Sturgis Municipal Wells,Sturgis,MID980703011,09/21/1984,42.24,No
Tar Lake,Mancelona Township,MID980794655,09/08/1983,48.55,No
Ten-Mile Drain,St. Clair Shores,MIN000510063,09/29/2010,48.88,No
